@relation 30_10_5_10_5_1000

@attribute A1 {d,b,a,e,c,j,g,f,i,h}
@attribute A2 {i,f,d,e,a,c,b,g,j,h}
@attribute A3 {h,b,g,a,i,f,j,d,e,c}
@attribute A4 {h,f,d,i,b,c,a,e,j,g}
@attribute A5 {g,b,j,i,f,e,h,d,a,c}
@attribute A6 {f,g,c,j,i,a,d,e,h,b}
@attribute A7 {c,e,h,b,a,j,i,g,d,f}
@attribute A8 {a,c,e,g,d,h,i,j,b,f}
@attribute A9 {f,g,d,h,i,a,j,c,b,e}
@attribute A10 {f,c,b,e,j,d,a,h,i,g}
@attribute A11 {c,a,d,j,f,h,e,i,b,g}
@attribute A12 {c,g,j,i,h,d,f,e,b,a}
@attribute A13 {b,i,g,d,a,c,h,e,j,f}
@attribute A14 {d,g,f,j,b,e,c,a,i,h}
@attribute A15 {i,h,b,a,d,e,g,j,c,f}
@attribute A16 {g,a,c,b,e,i,f,d,h,j}
@attribute A17 {e,h,f,g,b,a,j,i,d,c}
@attribute A18 {g,c,e,h,a,j,f,b,d,i}
@attribute A19 {a,g,e,h,b,j,d,c,f,i}
@attribute A20 {b,d,f,j,e,h,i,c,a,g}
@attribute A21 {i,b,a,j,c,e,f,d,g,h}
@attribute A22 {a,f,j,c,e,i,b,g,h,d}
@attribute A23 {e,b,h,a,i,f,c,j,g,d}
@attribute A24 {j,a,h,f,i,e,b,g,c,d}
@attribute A25 {c,g,b,f,e,i,a,d,h,j}
@attribute A26 {f,b}
@attribute A27 {a,i,h,e,d,c,b,f,j,g}
@attribute A28 {b,h,e,g,d,i,f,c,j,a}
@attribute A29 {h,b,f,a,e,g,j,c,d,i}
@attribute A30 {c,d,a,h,g,f,b,e,j,i}
@attribute Class {c5,c1,c4,c2,c3}

@data
i,c,c,i,e,b,f,d,g,b,d,j,d,b,b,b,f,h,a,g,b,b,a,h,b,b,a,j,f,h,c4
d,i,j,j,j,i,c,j,f,i,c,c,f,d,e,c,e,d,a,b,d,g,e,j,c,f,f,e,g,j,c5
h,f,b,f,h,e,f,c,j,f,a,h,d,g,h,a,e,e,d,b,g,f,e,h,i,f,h,d,b,g,c1
f,j,c,i,b,b,b,d,h,b,d,g,j,d,f,e,h,c,j,j,b,f,f,f,f,b,c,b,d,e,c2
d,i,d,i,c,f,c,c,f,i,g,c,b,d,i,c,e,j,a,c,j,b,e,h,c,f,g,c,a,i,c5
d,i,g,f,a,h,c,j,f,c,d,c,f,d,b,d,e,a,a,i,f,d,e,b,c,f,c,f,b,c,c5
j,f,b,f,h,c,c,i,j,g,a,e,d,a,h,a,a,d,c,b,i,f,e,b,c,f,i,j,b,f,c1
d,i,e,f,e,c,c,f,f,e,j,c,a,d,g,b,e,f,a,j,i,j,e,e,c,f,g,a,a,d,c5
i,f,b,f,d,j,d,g,g,a,a,g,e,e,h,a,g,b,h,b,e,f,e,a,j,f,d,d,b,j,c1
j,i,c,i,b,c,i,d,d,c,d,b,d,d,e,b,f,h,j,b,h,i,a,h,b,b,h,g,f,h,c4
c,d,a,i,d,e,e,e,b,d,d,c,d,j,i,b,f,h,f,e,j,g,b,h,b,b,c,c,f,h,c4
i,f,b,f,j,d,f,h,b,g,a,d,b,h,h,a,b,j,c,b,a,f,e,a,j,f,j,b,b,c,c1
e,f,b,f,d,j,f,f,g,g,a,f,f,d,h,a,f,c,c,b,g,f,e,c,h,f,f,g,b,f,c1
e,a,i,i,c,e,j,c,j,c,d,h,d,i,j,b,f,h,a,a,a,h,a,h,b,b,a,a,f,h,c4
d,i,d,j,d,d,c,c,f,a,g,c,f,d,g,d,e,f,a,b,c,c,e,j,c,f,g,c,d,g,c5
h,d,g,e,b,e,b,d,h,b,d,c,j,d,g,e,f,c,h,j,d,f,c,j,f,b,g,f,e,e,c2
j,f,b,f,h,e,g,g,h,a,a,h,h,g,h,a,g,i,a,b,i,f,e,b,h,f,c,h,b,b,c1
d,i,a,b,h,e,c,d,f,d,c,c,f,d,c,d,e,e,a,b,c,d,e,i,c,f,j,a,h,c,c5
i,a,d,i,g,a,g,j,a,a,d,d,d,d,g,b,f,h,j,c,b,h,d,h,b,b,b,f,f,h,c4
c,a,f,d,f,c,c,a,h,a,b,f,h,g,i,c,b,f,a,b,d,i,h,j,b,f,i,j,f,b,c3
f,f,h,j,b,b,b,d,h,b,d,b,a,d,f,a,d,c,j,j,b,j,a,j,f,b,h,j,j,b,c2
g,f,b,f,d,e,j,d,i,e,a,c,d,b,h,a,f,j,e,b,b,f,e,c,e,f,b,g,b,c,c1
d,i,j,b,d,b,c,j,f,a,f,c,h,d,j,h,e,c,a,b,d,a,e,b,c,f,g,d,f,e,c5
c,a,f,a,e,g,c,f,h,a,g,f,f,c,j,h,b,j,a,b,i,h,h,j,d,f,i,e,i,a,c3
d,i,j,j,g,d,c,b,f,d,j,c,j,d,j,i,e,a,a,f,b,a,e,h,c,f,j,i,d,c,c5
d,i,a,g,j,f,c,d,f,a,f,c,a,d,b,i,e,f,a,i,a,b,e,d,c,f,i,c,g,f,c5
j,f,b,f,f,c,g,g,d,b,a,d,f,a,h,a,f,j,b,b,i,f,e,a,a,f,b,a,b,e,c1
d,e,d,i,f,a,j,h,d,b,d,c,d,d,g,b,f,h,h,h,f,e,g,h,b,b,j,j,f,h,c4
a,b,e,j,b,i,b,d,h,b,d,g,a,d,e,h,d,c,e,j,e,g,c,c,f,b,g,f,d,i,c2
a,f,b,f,b,e,b,g,b,d,a,g,h,g,h,a,f,j,a,b,j,f,e,e,h,f,j,g,b,j,c1
d,i,i,f,g,f,c,e,f,h,c,c,h,d,d,i,e,d,a,i,i,a,e,g,c,f,c,h,c,d,c5
j,f,b,f,i,e,j,j,g,b,a,d,j,f,h,a,e,g,j,b,e,f,e,h,g,f,i,h,b,f,c1
d,i,f,a,c,b,c,g,f,c,b,c,j,d,b,i,e,i,a,d,c,c,e,c,c,f,h,g,d,j,c5
d,i,b,b,e,h,c,e,f,c,j,c,b,d,c,j,e,f,a,c,h,g,e,j,c,f,h,g,e,i,c5
e,j,f,h,b,g,b,d,h,b,d,f,a,d,d,j,a,c,c,j,c,c,e,a,f,b,e,f,b,b,c2
c,a,f,f,j,g,c,a,h,h,a,e,f,d,c,a,b,a,f,b,d,d,h,j,h,f,i,j,i,g,c3
c,a,f,g,a,i,c,a,h,b,e,f,e,h,g,b,b,i,i,b,e,j,h,j,e,f,i,c,h,e,c3
f,a,d,g,b,i,b,d,h,b,d,h,a,d,g,f,e,c,g,j,g,d,a,d,f,b,g,b,e,a,c2
d,f,b,f,d,c,a,c,c,i,a,e,h,f,h,a,b,d,b,b,f,f,e,i,i,f,h,c,b,g,c1
h,h,e,i,b,c,b,d,h,b,d,d,g,d,j,e,a,c,f,j,e,i,i,g,f,b,e,d,h,e,c2
c,a,f,c,i,j,c,a,h,f,f,b,g,d,c,b,b,b,h,b,j,d,h,j,b,f,i,e,e,f,c3
i,f,b,f,c,h,b,h,e,b,a,f,c,h,h,a,a,j,j,b,b,f,e,i,j,f,c,i,b,h,c1
c,a,f,c,c,a,c,d,h,g,j,h,d,f,h,a,b,e,c,b,g,h,h,j,g,f,i,c,h,d,c3
d,i,b,d,g,b,c,j,f,j,a,c,a,d,b,e,e,a,a,d,e,c,e,f,c,f,f,h,a,e,c5
f,g,d,i,j,d,a,j,j,j,d,j,d,d,a,b,f,h,f,a,j,f,f,h,b,b,d,e,f,h,c4
d,i,d,i,e,a,c,j,f,d,g,c,e,d,b,a,e,j,a,g,j,j,e,b,c,f,e,c,g,f,c5
g,f,b,f,j,b,d,g,j,g,a,d,i,a,h,a,c,c,d,b,f,f,e,h,h,f,c,j,b,c,c1
g,h,f,i,g,c,j,h,c,a,d,f,d,j,b,b,f,h,b,j,h,a,a,h,b,b,e,d,f,h,c4
c,f,e,i,b,a,b,d,h,b,d,h,a,d,g,a,g,c,i,j,g,d,c,a,f,b,e,e,e,b,c2
c,a,f,j,j,e,c,i,h,j,f,d,c,d,i,i,b,c,h,b,f,f,h,j,i,f,i,i,c,h,c3
d,f,b,f,b,j,e,g,i,a,a,c,d,d,h,a,a,d,b,b,h,f,e,a,f,f,f,e,b,g,c1
j,b,g,i,e,e,g,b,d,b,d,d,d,j,b,b,f,h,b,c,i,j,c,h,b,b,a,a,f,h,c4
j,f,a,j,b,c,b,d,h,b,d,e,i,d,e,h,e,c,g,j,i,f,b,j,f,b,i,i,h,a,c2
d,i,i,c,g,f,c,b,f,f,d,c,i,d,c,i,e,g,a,h,a,g,e,d,c,f,d,f,i,g,c5
b,i,h,i,e,e,a,e,a,j,d,f,d,c,c,b,f,h,c,e,c,d,i,h,b,b,b,j,f,h,c4
i,e,b,i,f,f,h,g,f,b,d,j,d,j,b,b,f,h,a,c,c,b,b,h,b,b,f,g,f,h,c4
d,i,h,j,e,f,c,f,f,a,f,c,d,d,j,g,e,g,a,j,j,f,e,b,c,f,b,i,e,g,c5
c,a,h,g,b,b,b,d,h,b,d,b,f,d,i,a,b,c,a,j,b,d,g,j,f,b,h,c,d,d,c2
i,c,a,i,c,f,h,f,i,e,d,c,d,a,j,b,f,h,h,g,i,d,i,h,b,b,a,b,f,h,c4
d,i,e,d,h,j,c,g,f,j,d,c,i,d,h,a,e,a,a,i,g,f,e,b,c,f,e,h,a,c,c5
c,a,f,c,b,g,c,b,h,b,g,f,a,e,g,i,b,c,d,b,c,e,h,j,i,f,i,h,g,a,c3
b,f,c,e,b,e,b,d,h,b,d,i,d,d,d,c,c,c,e,j,i,a,a,b,f,b,d,h,h,a,c2
a,h,g,d,b,e,b,d,h,b,d,c,a,d,a,c,b,c,h,j,a,h,f,c,f,b,e,i,b,i,c2
d,i,i,g,a,f,c,e,f,f,f,c,h,d,b,f,e,j,a,j,i,d,e,j,c,f,h,c,d,g,c5
d,i,h,h,j,a,c,a,f,e,e,c,e,d,i,i,e,b,a,d,b,i,e,d,c,f,b,c,e,d,c5
e,f,b,f,a,i,e,j,g,h,a,i,j,c,h,a,h,d,j,b,i,f,e,d,h,f,c,g,b,c,c1
j,j,c,i,j,i,f,b,i,e,d,h,d,h,d,b,f,h,i,h,c,b,j,h,b,b,a,f,f,h,c4
j,g,b,i,e,e,a,j,a,e,d,g,d,i,c,b,f,h,b,b,e,b,f,h,b,b,f,g,f,h,c4
f,f,b,f,j,f,e,g,c,i,a,b,a,h,h,a,b,i,d,b,i,f,e,a,j,f,c,a,b,c,c1
d,i,g,a,a,b,c,j,f,b,b,c,e,d,j,a,e,a,a,f,c,f,e,i,c,f,c,f,h,i,c5
e,f,b,f,h,b,a,c,a,i,a,b,f,f,h,a,h,f,j,b,d,f,e,d,h,f,a,f,b,a,c1
c,a,f,f,h,c,c,f,h,a,j,e,f,a,i,e,b,b,a,b,c,i,h,j,a,f,i,f,g,e,c3
i,g,j,i,e,e,c,d,f,j,d,f,d,d,f,b,f,h,j,e,g,g,c,h,b,b,f,i,f,h,c4
e,i,j,i,e,g,f,c,g,c,d,j,d,a,h,b,f,h,a,b,h,g,f,h,b,b,g,g,f,h,c4
a,h,f,c,b,e,b,d,h,b,d,j,a,d,a,b,d,c,g,j,e,c,h,c,f,b,e,i,g,d,c2
e,f,b,f,b,h,f,c,d,b,a,d,c,d,h,a,i,h,i,b,b,f,e,f,c,f,h,j,b,h,c1
d,i,i,c,j,g,c,c,f,e,g,c,a,d,f,c,e,f,a,i,b,j,e,j,c,f,j,b,h,i,c5
j,h,e,h,b,g,b,d,h,b,d,f,f,d,a,i,j,c,b,j,d,j,e,g,f,b,e,b,c,i,c2
c,a,f,g,h,e,c,j,h,b,d,d,f,h,h,g,b,j,i,b,e,g,h,j,d,f,i,g,i,e,c3
a,i,d,i,g,d,f,e,d,h,d,h,d,a,e,b,f,h,g,f,e,e,j,h,b,b,h,d,f,h,c4
g,f,d,i,d,e,f,g,f,a,d,a,d,h,a,b,f,h,b,f,d,j,f,h,b,b,g,c,f,h,c4
d,i,a,h,j,h,c,i,f,i,c,c,j,d,g,e,e,c,a,b,c,c,e,b,c,f,j,d,i,f,c5
d,i,d,e,c,f,c,j,f,c,d,c,e,d,d,e,e,i,a,b,f,j,e,g,c,f,d,g,g,h,c5
e,j,h,d,b,d,b,d,h,b,d,f,h,d,h,c,j,c,a,j,d,j,c,j,f,b,j,g,c,e,c2
f,h,g,a,b,c,b,d,h,b,d,e,a,d,d,c,d,c,a,j,b,b,f,i,f,b,c,g,j,d,c2
c,a,f,j,a,j,c,e,h,e,h,g,g,j,a,e,b,e,e,b,i,h,h,j,b,f,i,g,d,d,c3
d,i,i,i,g,g,c,f,f,b,i,c,e,d,f,d,e,f,a,b,b,h,e,i,c,f,g,g,i,h,c5
j,a,j,i,i,i,g,a,j,d,d,f,d,g,b,b,f,h,d,j,j,e,f,h,b,b,f,a,f,h,c4
g,e,d,i,e,j,b,g,f,d,d,b,d,a,h,b,f,h,d,b,j,a,g,h,b,b,h,e,f,h,c4
d,i,f,i,j,g,c,g,f,j,j,c,b,d,e,b,e,c,a,j,i,e,e,i,c,f,a,b,b,d,c5
d,i,g,g,d,f,c,d,f,b,a,c,i,d,f,c,e,j,a,j,g,j,e,g,c,f,d,d,h,e,c5
g,f,b,f,f,h,c,e,j,j,a,f,f,i,h,a,d,h,a,b,a,f,e,a,i,f,a,h,b,h,c1
d,i,e,d,i,f,c,b,f,i,h,c,a,d,g,j,e,a,a,c,c,d,e,j,c,f,j,i,g,j,c5
d,f,b,f,g,a,a,f,g,g,a,e,h,a,h,a,g,g,g,b,i,f,e,e,e,f,i,g,b,d,c1
b,f,h,i,e,c,f,b,c,e,d,c,d,a,j,b,f,h,e,d,g,i,i,h,b,b,b,j,f,h,c4
c,f,d,e,b,g,b,d,h,b,d,f,h,d,h,a,f,c,a,j,h,b,d,b,f,b,h,e,i,g,c2
h,f,j,i,b,h,i,g,e,b,d,c,d,b,i,b,f,h,i,f,c,i,c,h,b,b,i,j,f,h,c4
d,i,j,i,h,c,c,f,f,b,b,c,f,d,e,a,e,d,a,j,i,e,e,e,c,f,f,d,c,h,c5
d,i,j,e,a,d,c,b,f,f,i,c,d,d,g,g,e,c,a,c,h,i,e,h,c,f,c,b,a,j,c5
c,a,f,h,a,h,c,h,h,d,c,j,f,f,a,i,b,a,g,b,e,j,h,j,e,f,i,f,b,e,c3
d,c,h,i,d,c,b,i,g,b,d,h,d,d,f,b,f,h,j,f,i,a,g,h,b,b,b,c,f,h,c4
d,i,a,g,g,a,c,a,f,i,e,c,c,d,h,a,e,g,a,g,i,j,e,f,c,f,a,i,h,b,c5
d,f,e,i,i,e,g,d,j,a,d,f,d,c,j,b,f,h,j,g,h,e,e,h,b,b,d,a,f,h,c4
c,a,f,d,g,a,c,c,h,f,f,f,g,c,a,g,b,a,e,b,e,j,h,j,e,f,i,e,e,c,c3
b,i,g,i,j,j,i,f,d,j,d,h,d,c,d,b,f,h,d,g,a,c,d,h,b,b,g,j,f,h,c4
d,i,c,h,c,g,c,b,f,d,f,c,g,d,f,e,e,c,a,h,c,b,e,f,c,f,i,d,j,f,c5
j,f,b,f,c,c,h,b,h,h,a,d,b,i,h,a,g,g,g,b,g,f,e,a,d,f,h,f,b,d,c1
h,d,i,i,e,g,a,c,j,c,d,f,d,j,d,b,f,h,e,e,e,a,d,h,b,b,b,i,f,h,c4
a,f,b,f,e,h,h,h,d,c,a,g,b,g,h,a,c,f,c,b,e,f,e,c,e,f,a,j,b,c,c1
e,f,b,f,d,b,c,a,h,f,a,g,i,i,h,a,f,a,j,b,g,f,e,f,d,f,f,d,b,j,c1
g,i,f,i,c,d,g,a,c,c,d,b,d,e,d,b,f,h,g,d,a,e,i,h,b,b,h,h,f,h,c4
c,a,f,a,e,b,c,h,h,c,g,a,f,j,e,c,b,j,i,b,e,a,h,j,j,f,i,f,a,a,c3
c,a,f,f,h,g,c,g,h,d,j,g,e,d,d,h,b,d,d,b,h,b,h,j,c,f,i,d,d,j,c3
j,f,b,f,c,b,f,i,f,b,a,i,e,c,h,a,a,g,b,b,b,f,e,a,a,f,i,g,b,b,c1
d,i,j,f,f,g,c,b,f,i,f,c,j,d,f,a,e,e,a,b,j,c,e,d,c,f,c,e,e,b,c5
a,a,f,i,c,d,i,j,b,d,d,d,d,e,h,b,f,h,h,h,b,b,a,h,b,b,e,g,f,h,c4
c,a,f,b,f,j,c,f,h,b,a,a,a,d,d,g,b,a,i,b,e,i,h,j,c,f,i,e,c,c,c3
d,j,d,c,b,g,b,d,h,b,d,g,f,d,c,i,f,c,f,j,a,e,a,f,f,b,d,b,h,e,c2
j,f,b,f,f,f,i,g,c,c,a,c,f,g,h,a,i,c,e,b,d,f,e,d,d,f,i,c,b,d,c1
c,a,f,d,b,e,c,a,h,h,j,a,j,g,i,h,b,f,c,b,g,j,h,j,b,f,i,a,j,a,c3
c,f,b,f,d,b,b,j,b,a,a,i,e,g,h,a,b,i,a,b,e,f,e,j,h,f,b,a,b,f,c1
c,a,f,f,c,j,c,f,h,a,g,a,c,j,j,a,b,f,c,b,d,j,h,j,j,f,i,f,f,h,c3
h,b,e,i,g,g,g,i,a,d,d,g,d,d,c,b,f,h,i,a,j,a,i,h,b,b,a,a,f,h,c4
f,a,c,h,b,f,b,d,h,b,d,h,d,d,f,f,c,c,h,j,a,d,j,b,f,b,j,b,g,j,c2
h,f,a,i,b,e,f,a,a,c,d,c,d,f,f,b,f,h,f,g,j,g,b,h,b,b,e,a,f,h,c4
i,i,j,i,i,j,d,f,f,c,d,b,d,e,d,b,f,h,a,f,c,b,b,h,b,b,j,c,f,h,c4
a,c,a,d,b,d,b,d,h,b,d,g,b,d,d,f,h,c,a,j,i,c,f,h,f,b,g,g,f,h,c2
a,a,a,e,b,e,b,d,h,b,d,f,b,d,j,d,d,c,b,j,h,a,c,a,f,b,i,j,d,c,c2
d,i,f,i,f,h,c,g,f,f,a,c,f,d,g,i,e,j,a,b,i,b,e,d,c,f,g,j,g,e,c5
j,d,a,i,h,e,f,g,b,j,d,f,d,a,a,b,f,h,e,i,f,g,i,h,b,b,j,c,f,h,c4
d,i,g,d,d,e,c,j,f,g,c,c,b,d,g,c,e,i,a,i,a,a,e,i,c,f,f,g,a,g,c5
h,g,j,i,g,a,b,c,b,e,d,a,d,d,h,b,f,h,i,b,g,f,i,h,b,b,c,b,f,h,c4
e,a,g,i,b,h,b,d,h,b,d,i,c,d,c,a,c,c,g,j,c,h,e,a,f,b,b,c,h,a,c2
j,j,i,i,c,j,d,a,d,d,d,h,d,g,c,b,f,h,f,i,f,f,a,h,b,b,g,b,f,h,c4
e,f,b,f,h,j,g,d,g,c,a,c,h,h,h,a,f,f,a,b,h,f,e,e,i,f,g,h,b,j,c1
c,f,b,f,f,f,c,d,a,h,a,b,j,g,h,a,i,i,h,b,f,f,e,f,c,f,d,c,b,b,c1
d,i,f,i,e,g,j,c,j,b,d,a,d,d,e,b,f,h,d,e,d,g,f,h,b,b,i,g,f,h,c4
d,i,b,d,i,b,c,e,f,d,g,c,f,d,e,j,e,a,a,g,b,f,e,d,c,f,a,i,a,f,c5
g,f,b,f,c,d,j,e,a,h,a,d,i,b,h,a,i,i,d,b,a,f,e,g,a,f,i,g,b,f,c1
d,i,j,c,b,g,c,c,f,a,c,c,d,d,a,d,e,a,a,i,h,b,e,j,c,f,i,j,i,g,c5
c,a,f,f,f,j,c,i,h,i,f,b,d,h,f,c,b,b,j,b,h,e,h,j,j,f,i,j,f,d,c3
d,f,b,f,h,j,b,b,b,c,a,c,a,a,h,a,i,d,b,b,e,f,e,d,d,f,i,c,b,e,c1
d,i,e,f,a,g,c,a,f,a,i,c,d,d,e,i,e,e,a,g,f,g,e,h,c,f,e,f,c,d,c5
i,h,d,g,b,g,b,d,h,b,d,a,c,d,b,f,f,c,d,j,a,f,g,d,f,b,j,b,a,f,c2
a,f,h,i,e,i,e,a,i,b,d,j,d,h,g,b,f,h,h,c,b,i,f,h,b,b,j,f,f,h,c4
d,i,e,f,i,i,c,g,f,d,i,c,j,d,g,c,e,e,a,j,i,d,e,i,c,f,a,f,b,a,c5
d,i,h,c,b,j,c,d,f,h,b,c,i,d,c,f,e,e,a,c,d,a,e,h,c,f,c,i,e,h,c5
j,d,g,f,b,h,b,d,h,b,d,c,c,d,h,b,g,c,f,j,i,h,g,j,f,b,b,f,c,i,c2
e,f,g,i,b,h,b,d,h,b,d,e,j,d,a,j,c,c,h,j,h,b,b,d,f,b,h,b,f,j,c2
a,f,b,f,e,j,b,a,g,c,a,a,h,h,h,a,e,i,h,b,f,f,e,f,b,f,d,b,b,j,c1
g,f,b,f,c,a,b,j,a,i,a,c,a,a,h,a,d,j,f,b,e,f,e,d,j,f,i,a,b,f,c1
c,a,f,j,g,i,c,f,h,d,g,d,j,e,d,f,b,d,j,b,a,e,h,j,d,f,i,c,g,g,c3
g,f,b,f,j,g,f,e,j,e,a,g,f,i,h,a,e,h,e,b,d,f,e,b,h,f,c,a,b,f,c1
d,b,f,i,f,a,f,b,b,h,d,f,d,f,a,b,f,h,d,j,f,f,d,h,b,b,j,d,f,h,c4
d,i,c,a,c,e,c,g,f,h,b,c,c,d,h,c,e,i,a,d,j,i,e,j,c,f,f,d,g,j,c5
c,a,f,f,a,c,c,e,h,a,j,f,d,e,c,h,b,d,g,b,e,i,h,j,i,f,i,j,g,h,c3
d,i,h,b,c,d,c,f,f,h,c,c,f,d,i,c,e,e,a,a,h,b,e,i,c,f,a,g,b,e,c5
c,a,f,a,c,a,c,b,h,h,f,b,h,j,d,d,b,j,c,b,e,b,h,j,a,f,i,b,a,h,c3
c,a,f,j,c,b,c,h,h,g,b,g,j,f,a,j,b,i,j,b,a,b,h,j,j,f,i,d,j,c,c3
g,i,i,i,d,c,h,j,j,b,d,d,d,b,j,b,f,h,b,a,b,g,g,h,b,b,c,i,f,h,c4
g,f,b,f,a,c,g,e,j,b,a,j,a,g,h,a,e,j,h,b,g,f,e,b,c,f,i,e,b,i,c1
c,a,f,f,h,i,c,c,h,g,h,f,i,f,e,b,b,e,d,b,b,b,h,j,f,f,i,i,g,a,c3
i,g,j,i,c,b,i,b,d,i,d,b,d,c,a,b,f,h,h,j,j,b,a,h,b,b,h,b,f,h,c4
c,e,e,d,b,f,b,d,h,b,d,b,g,d,d,j,j,c,f,j,f,e,e,h,f,b,i,c,j,a,c2
a,f,b,f,h,d,b,h,g,d,a,d,g,b,h,a,g,c,d,b,a,f,e,e,b,f,j,a,b,f,c1
j,j,g,g,b,j,b,d,h,b,d,d,b,d,j,e,b,c,h,j,j,e,b,e,f,b,c,a,c,b,c2
d,i,b,d,d,h,c,d,f,e,h,c,d,d,c,d,e,e,a,j,g,b,e,e,c,f,h,a,e,a,c5
b,i,c,i,e,d,f,f,j,h,d,d,d,i,h,b,f,h,j,j,j,i,d,h,b,b,j,f,f,h,c4
f,d,e,i,i,f,e,b,g,c,d,j,d,d,j,b,f,h,c,b,b,d,a,h,b,b,f,f,f,h,c4
c,a,f,g,g,d,c,d,h,b,c,e,g,g,f,b,b,c,g,b,c,e,h,j,d,f,i,j,d,h,c3
d,i,b,c,e,b,c,b,f,b,b,c,g,d,h,c,e,b,a,j,a,c,e,a,c,f,d,b,i,e,c5
c,a,f,d,e,e,c,i,h,a,g,j,a,a,h,a,b,g,f,b,j,j,h,j,a,f,i,g,f,b,c3
a,h,e,g,b,c,b,d,h,b,d,h,h,d,d,b,g,c,i,j,d,c,c,b,f,b,b,j,e,h,c2
d,i,b,a,e,j,c,d,f,c,a,c,e,d,f,e,e,i,a,i,j,d,e,h,c,f,i,i,a,e,c5
c,i,h,i,e,d,e,i,h,d,d,c,d,h,c,b,f,h,c,d,g,e,i,h,b,b,g,f,f,h,c4
g,f,b,f,j,i,i,b,g,d,a,d,c,g,h,a,i,c,a,b,f,f,e,f,d,f,j,h,b,f,c1
f,i,g,i,b,f,b,d,h,b,d,j,h,d,c,e,c,c,g,j,i,f,h,d,f,b,f,j,e,f,c2
d,j,j,a,b,b,b,d,h,b,d,g,h,d,c,b,f,c,d,j,i,a,c,c,f,b,d,d,i,d,c2
c,a,f,h,h,i,c,a,h,a,d,i,g,f,j,d,b,i,h,b,f,e,h,j,e,f,i,e,f,j,c3
e,h,i,g,b,j,b,d,h,b,d,h,g,d,i,e,d,c,i,j,b,g,c,e,f,b,i,h,d,f,c2
d,f,b,f,c,i,i,c,d,c,a,d,e,j,h,a,h,c,h,b,g,f,e,d,b,f,h,b,b,h,c1
b,f,g,i,e,g,a,g,c,f,d,f,d,b,i,b,f,h,e,d,g,b,j,h,b,b,d,c,f,h,c4
d,i,f,a,g,f,c,j,f,e,g,c,f,d,e,f,e,g,a,e,h,f,e,c,c,f,i,c,c,i,c5
f,f,b,f,g,d,i,c,c,i,a,j,d,e,h,a,a,f,a,b,f,f,e,f,a,f,c,e,b,b,c1
c,a,f,j,a,j,c,e,h,b,i,e,i,h,b,g,b,i,c,b,c,e,h,j,c,f,i,g,j,d,c3
e,a,h,i,f,e,j,e,h,e,d,g,d,f,i,b,f,h,h,h,a,h,d,h,b,b,d,i,f,h,c4
d,i,i,a,j,b,c,h,f,d,b,c,h,d,a,a,e,c,a,c,j,c,e,c,c,f,i,i,j,g,c5
g,f,b,i,f,g,j,j,c,h,d,b,d,j,f,b,f,h,g,h,i,c,g,h,b,b,b,i,f,h,c4
g,f,c,e,b,i,b,d,h,b,d,d,i,d,f,h,j,c,b,j,f,j,a,h,f,b,h,j,h,i,c2
c,b,d,j,b,h,b,d,h,b,d,a,h,d,h,i,f,c,j,j,j,d,b,h,f,b,i,h,f,b,c2
d,i,e,f,i,a,c,a,f,b,f,c,e,d,f,g,e,g,a,a,f,a,e,a,c,f,i,e,f,c,c5
c,a,f,b,e,f,c,d,h,b,b,c,e,h,a,b,b,g,c,b,a,j,h,j,e,f,i,c,a,d,c3
b,f,b,f,j,a,g,h,a,e,a,d,i,e,h,a,d,c,j,b,a,f,e,d,d,f,d,f,b,g,c1
f,c,i,a,b,j,b,d,h,b,d,e,d,d,a,f,b,c,i,j,f,j,f,e,f,b,a,e,e,f,c2
g,f,b,f,a,i,g,d,g,e,a,g,d,f,h,a,a,g,d,b,e,f,e,b,j,f,g,b,b,g,c1
c,a,f,b,e,i,c,d,h,c,i,f,a,c,i,f,b,e,j,b,a,j,h,j,f,f,i,i,e,g,c3
e,f,b,f,b,e,i,h,b,h,a,g,g,b,h,a,c,b,d,b,i,f,e,d,g,f,c,g,b,d,c1
c,a,f,i,c,j,c,g,h,b,a,i,d,b,e,a,b,i,j,b,c,f,h,j,j,f,i,i,b,h,c3
i,f,b,f,g,a,e,f,d,h,a,g,c,e,h,a,a,c,j,b,g,f,e,g,d,f,c,f,b,b,c1
c,a,f,d,b,j,c,a,h,b,j,i,g,c,c,e,b,g,i,b,a,c,h,j,h,f,i,b,a,h,c3
d,f,b,f,j,f,i,c,b,g,a,h,a,h,h,a,f,d,g,b,b,f,e,i,j,f,d,c,b,i,c1
c,a,f,i,i,f,c,d,h,j,j,i,j,d,a,j,b,h,g,b,b,h,h,j,d,f,i,h,f,b,c3
b,e,d,i,a,f,i,e,j,j,d,f,d,g,i,b,f,h,i,j,e,b,i,h,b,b,f,i,f,h,c4
d,i,g,f,f,a,c,h,f,d,d,c,j,d,b,a,e,c,a,f,d,e,e,g,c,f,j,j,g,i,c5
d,i,d,g,i,j,c,h,f,d,f,c,j,d,d,b,e,c,a,d,d,f,e,j,c,f,i,i,a,b,c5
g,f,b,f,c,f,e,i,i,i,a,g,h,g,h,a,d,f,e,b,f,f,e,e,e,f,b,g,b,c,c1
e,j,h,b,b,g,b,d,h,b,d,f,d,d,h,h,g,c,j,j,f,a,a,c,f,b,d,b,j,a,c2
