@relation data2

@attribute A {w,au,bx,cn,co,u,an,ca,ag,ak,q,o,cs,t,n,bs,aa,cj,be,br,ct,aw,ai,ah,z,l,cb,cu,bp,ck,a,cv,j,cd,cm,ba,ch,ap,aj,bq,cg,bk,am,h,bu,bt,g,cl,as,bf,bi,av,bj,e,bb,bl,at,ad,af,cr,cf,bg,ar,ab,k,ci,aq,ax,bh,v,az,ao,i,bd,c,bm,m,b,r,ae,bo,by,bw,f,d,cq,ce,bc,bv,bn,ac,y,al,p,s,bz,cc,ay}
@attribute B {ch,bz,a,i,bt,j,bl,bj,co,ac,ad,ai,af,aq,bu,l,cr,au,bk,y,ak,x,av,q,cu,bh,ci,bg,at,r,be,an,c,bf,u,bd,az,bw,bs,f,cm,p,k,cs,cl,g,bv,b,cp,bq,ao,by,s,ce,bm,cj,d,bo,ap,ba,bi,n,bx,cb,ay,cn,as,bc,al,h,m,cd,cq,ca,aa,cv,cf,z,aw,bp,t,cc,am,ar,aj,ab,o,cg,ah,bb,v,bn,e,ct,ck,w,ae,ax,ag,br}
@attribute C {s,ah,ai,y,af,be,cg,j,ce,bs,cq,bp,o,t,k,ct,as,ay,c,cn,bk,ag,bf,ch,cr,d,bz,cl,z,b,ac,i,cm,az,bo,at,ci,l,ap,x,bu,al,cu,cc,bl,ck,ao,ad,cf,by,co,n,bi,am,p,bw,m,ba,bb,bv,ca,aj,bd,cs,cd,bm,f,au,bj,bh,ak,an,u,bc,ae,cb,e,ar,bq,h,ab,aq,br,v,bx,bg,a,q,aw,cp,av,bn,g,r,bt,ax,cv}
@attribute D {an,bv}
@attribute E {cd,w,aa,v,bp,aj,co,cr,af,z,ch,ay,bo,ai,cs,cl,m,ba,bk,cj,d,r,ap,bs,br,l,ct,i,cc,cq,ae,au,bx,cm,o,bj,bv,f,c,be,cu,ca,b,av,x,bz,ac,cf,at,cn,ao,bm,bi,az,ci,g,bn,ag,bd,by,bl,am,ak,ax,cg,t,y,a,ad,k,h,aq,bq,ce,p,al,ck,bg,j,bu,an,u,bc,bt,bh,cv,s,bf,q,cp,bw,n,ab,ar,e,aw,cb}
@attribute F {bc,ar,ay,q,a,bx,as,bw,f,cm,p,cu,o,ct,r,k,bk,at,au,bg,bp,ao,e,av,bn,az,cp,be,bi,bb,ae,bo,cs,br,j,bs,g,m,h,cj,ce,cf,cq,v,am,bv,s,cl,cg,ad,ai,y,bq,x,n,ch,by,bh,l,d,b,aw,ck,bz,u,ax,bt,cc,i,aj,bj,ca,cn,ba,ah,bf,bl,ac,t,aa,aq,c,al,cb,bd,z,cv,ab,ci,an,bu,cd,co,cr,af,w,bm,ap,ak,ag}
@attribute G {bn,y,g,m,ax,k,az,ca,cb,h,bj,bv,cl,cs,bf,e,cq,i,z,ch,ct,as,w,ae,at,aw,f,ah,ac,bt,bz,cf,cc,cv,bq,ba,ab,r,cp,a,v,cu,bc,bg,bh,bd,ck,t,ao,bb,ce,am,ak,cr,l,c,o,bo,an,bp,s,ap,x,ay,cn,bu,ci,cg,cm,j,al,bs,n,bm,co,q,by,p,cd,bi,aa,au,bw,bl,aq,ag,bk,be,cj,ad,b,ar,ai,af,u,br,aj,av,d}
@attribute H {ax,bv,bq,be,d,ar,an,bf,bh,ah,t,cu,ck,cd,x,i,f,cl,bk,aj,y,bu,aw,ce,as,p,w,cn,ab,a,ct,cc,bg,cf,cv,s,ac,bb,bj,bx,bc,bs,z,o,q,cj,b,bd,r,au,cp,bt,aa,ad,bm,bw,k,n,al,at,ap,cg,ae,ao,j,ak,by,h,cr,ci,bp,bo,am,ba,bl,e,cs,cq,ca,bi,m,ay,br,c,ch,v,aq,ag,g,cm,l,u,av,cb,bz,af,ai,bn,az,co}
@attribute I {j,af,bm,bz,x,bw,ab,cn,bd,bi,bp,cd,m,q,w,bb,cc,cb,ao,ag,y,bs,bx,bf,aj,bu,bg,g,cm,ad,bc,cu,co,r,bn,bv,c,f,ae,ah,ac,bj,ay,aw,d,cf,i,z,ck,aq,u,cg,an,cj,ba,az,bo,cr,ap,bl,s,t,l,al,br,bt,be,ch,ca,bk,av,am,ce,ak,n,ct,b,cq,p,aa,bh,k,as,cp,bq,v,o,cl,by,ax,at,a,cs,au,h,ci,ai,ar,cv}
@attribute J {h,ax,ct,cm,v,bo,bp,aw,bf,o,x,bv,aa,br,ai,cl,j,bc,i,af,m,an,u,ce,r,bl,ay,at,az,ac,cb,au,e,bn,s,bu,al,ap,t,l,cc,ca,bz,b,co,f,bj,av,ba,cr,bq,bb,be,aj,ch,ar,bh,cp,cf,c,cj,q,bt,ah,cv,cs,y,ab,bw,ad,bx,a,cg,z,as,cu,bg,ae,k,w,ao,d,ck,ak,bk,ci,bm,g,p,ag,cn,cq,cd,am,n,bd,by,aq,bi,bs}
@attribute K {bh,as,v,cj,p,bu,x,bq,g,ay,t,ci,bm,ar,ai,bg,a,cc,y,aa,by,bk,l,cq,n,h,i,ag,ae,r,aw,cp,am,cb,ah,an,w,aq,bi,bn,br,bl,cm,o,b,co,q,cv,cr,be,bz,cf,bx,j,ca,ax,bf,al,au,bw,bt,ad,bv,f,m,bo,c,bc,cg,cu,az,z,cl,ao,aj,ac,bj,bs,d,ba,k,s,cd,cn,e,cs,ct,ck,bb,bp,at,ak,af,ce,ab,ap,ch,bd,u,av}
@attribute L {b,aq,af,al,bm,cc,y,ag,s,ba,co,ca,cv,u,l,aj,ct,v,cm,cr,bk,bi,am,bo,ao,i,bz,as,ah,o,bl,cl,d,a,ch,cq,c,bf,br,cs,ay,n,an,cj,ck,ai,cn,cb,ad,r,aw,m,au,bg,bt,bx,k,be,cp,bp,bw,bc,cf,x,ar,cg,by,ak,cd,ae,bn,q,h,bu,bd,at,bj,av,az,ab,aa,ap,bb,p,f,e,ci,bh,w,cu,ce,j,ax,g,ac,t,bq,bs,bv,z}
@attribute M {v,aq,bh,t,bt,cf,p,ao,ba,z,cu,b,bb,cs,ar,aw,ce,g,cp,cc,br,ag,m,e,bd,k,ck,n,cm,ci,cr,by,cg,l,d,co,bw,cn,bk,a,az,am,o,ca,ak,af,cj,cq,c,an,ap,h,ct,y,f,ay,bv,aj,bx,av,ch,ah,bp,bz,bn,bc,ai,bi,i,cv,w,ad,bu,bj,j,bm,au,at,s,r,bs,q,aa,bq,bf,cb,al,cd,bg,x,be,ax,u,ab,ac,ae,bl,cl,bo,as}
@attribute N {cb,bo,x,bv,v,u,ae,cj,ap,bq,g,cd,bd,aa,k,cc,be,bf,br,cm,at,co,ag,cu,cr,by,bc,bi,af,cl,bm,bn,w,ak,ci,d,bp,aq,bb,i,au,cs,ac,s,bj,aw,bh,j,f,ca,bg,t,aj,bz,r,q,n,bk,ab,cn,ba,b,cv,az,cp,ax,cg,bl,o,an,z,ay,l,a,h,c,bt,as,ao,ai,ch,bs,bw,am,ad,p,y,cq,e,bu,ct,m,ck,av,ah,al,bx,ce,cf,ar}
@attribute O {v,bl,cc,aa,bu,ca,ce,bq,cg,w,cb,ba,ay,i,co,cv,cq,bv,bh,z,q,m,g,as,bg,bs,f,cr,bz,bj,cu,t,o,az,bt,c,cf,ci,ae,ck,d,ao,a,bn,bc,cl,by,n,r,cn,bk,aj,ar,cm,s,af,cs,bw,cj,ai,x,j,aw,ct,bp,ax,ch,aq,cd,u,bm,br,l,av,be,bb,bf,k,cp,y,b,bi,au,am,ag,bd,ap,ab,ah,bx,e,ad,an,al,ak,bo,p,at,ac,h}
@attribute Class {c1,c2}

@data
bx,at,am,bv,aa,cq,cj,ae,bh,ct,ag,af,b,bt,bg,c2
h,aq,s,an,ch,ay,bn,ax,j,bk,y,bf,w,a,av,c1
cv,z,s,an,bv,ce,bn,ax,j,be,bq,br,g,bp,bt,c1
an,s,s,an,b,bl,bn,ax,j,ce,h,bd,cm,ao,e,c1
bi,bj,s,an,ag,p,bn,ax,j,bp,cp,ao,ae,cd,ag,c1
bx,cv,ao,bv,aa,e,ac,bw,bz,ct,w,af,z,ac,b,c2
bx,be,b,bv,aa,cm,j,bi,al,ct,h,af,s,bs,j,c2
ba,u,s,an,cv,o,bn,ax,j,ca,ct,bi,aa,bv,b,c1
t,bh,s,an,cs,ar,bn,ax,j,bz,ao,k,ap,ba,cg,c1
bh,af,s,an,a,m,bn,ax,j,e,at,an,a,o,ce,c1
bx,bm,h,bv,aa,as,q,ao,k,ct,cq,af,ac,cv,cd,c2
bx,o,aj,bv,aa,aa,ce,m,ac,ct,n,af,bz,l,bf,c2
bi,ae,s,an,ai,bp,bn,ax,j,ci,cr,bt,av,o,bo,c1
ad,cj,s,an,l,cf,bn,ax,j,ab,af,ca,an,m,av,c1
bx,bh,co,bv,aa,bz,bc,ay,d,ct,m,af,cb,bx,by,c2
bx,av,be,bv,aa,cr,cu,bi,as,ct,ck,af,aa,au,bc,c2
f,ch,s,an,cn,a,bn,ax,j,cc,cs,p,aj,bm,ac,c1
bx,cl,e,bv,aa,ck,as,br,cn,ct,l,af,bf,cg,cg,c2
bx,v,bk,bv,aa,o,ad,ae,an,ct,bt,af,by,be,aw,c2
bx,bz,o,bv,aa,ao,bc,f,b,ct,bt,af,ae,ah,ce,c2
c,ad,s,an,by,f,bn,ax,j,b,aw,be,bt,co,cg,c1
d,ch,s,an,s,bk,bn,ax,j,cj,cg,bm,ak,cq,e,c1
d,ai,s,an,az,bl,bn,ax,j,cr,g,am,bh,t,aq,c1
bx,cm,cg,bv,aa,bv,an,p,af,ct,bf,af,ap,ba,b,c2
bx,bo,cd,bv,aa,al,ch,h,d,ct,bz,af,at,m,cu,c2
ae,aj,s,an,ax,al,bn,ax,j,ak,j,ay,cu,aj,be,c1
bx,ay,y,bv,aa,w,be,bg,an,ct,j,af,h,bi,aq,c2
bb,as,s,an,cl,ch,bn,ax,j,bm,ax,cs,z,cs,p,c1
az,u,s,an,bo,t,bn,ax,j,bv,ad,cd,ag,al,cq,c1
bx,n,k,bv,aa,cq,ay,m,bb,ct,ad,af,cv,bw,by,c2
bx,cc,ay,bv,aa,p,m,cs,bn,ct,cf,af,bl,ad,ax,c2
z,ao,s,an,b,bm,bn,ax,j,s,as,f,af,by,ce,c1
bx,cl,an,bv,aa,ap,k,ae,ab,ct,cd,af,ce,bk,cv,c2
bx,as,ab,bv,aa,ap,cv,c,q,ct,t,af,ax,ac,bd,c2
bx,c,bs,bv,aa,az,a,bb,cm,ct,p,af,cl,bx,cb,c2
bf,q,s,an,g,ao,bn,ax,j,cb,am,a,bp,bi,av,c1
bf,t,s,an,au,ca,bn,ax,j,cr,cf,e,ah,cl,cv,c1
g,bg,s,an,cu,r,bn,ax,j,f,be,bo,bf,bd,ad,c1
bx,f,aq,bv,aa,j,cc,ca,bf,ct,cg,af,aj,ai,ck,c2
bx,bm,cq,bv,aa,as,ch,au,am,ct,bj,af,j,af,cp,c2
aq,h,s,an,o,ap,bn,ax,j,ct,z,f,ba,bk,ag,c1
bx,bw,bl,bv,aa,x,cq,by,bo,ct,q,af,a,ch,a,c2
aq,aw,s,an,aq,az,bn,ax,j,bk,ck,ba,aw,z,w,c1
bx,cb,br,bv,aa,h,b,bl,bx,ct,aq,af,al,bv,ac,c2
e,v,s,an,al,ax,bn,ax,j,s,x,ab,ct,aj,cs,c1
e,d,s,an,aq,bt,bn,ax,j,j,ct,ci,x,bh,cc,c1
bd,ax,s,an,cj,ba,bn,ax,j,ab,cp,cg,cr,ch,cn,c1
bx,z,b,bv,aa,bu,an,ap,bb,ct,ch,af,cl,ce,ci,c2
an,bg,s,an,s,aa,bn,ax,j,ar,ao,bm,h,bm,cl,c1
bx,cg,bm,bv,aa,br,an,ak,cf,ct,bm,af,ba,j,bi,c2
bx,c,cg,bv,aa,bm,bj,ch,z,ct,r,af,q,u,bu,c2
bx,ad,z,bv,aa,aj,aq,ce,aw,ct,cg,af,ar,cv,bj,c2
bx,o,v,bv,aa,y,at,e,cp,ct,z,af,p,x,bs,c2
be,ao,s,an,bx,u,bn,ax,j,bv,x,cp,av,ay,b,c1
r,h,s,an,bo,c,bn,ax,j,ct,ac,an,ct,cd,ad,c1
bx,d,as,bv,aa,n,bz,as,cu,ct,bd,af,ad,br,bk,c2
ct,cm,s,an,cr,bs,bn,ax,j,g,bv,f,cj,au,ax,c1
bx,bg,bx,bv,aa,bb,ct,bc,bx,ct,p,af,bo,h,be,c2
bx,ar,bp,bv,aa,aw,cj,y,br,ct,bz,af,by,bx,bp,c2
bx,cl,ay,bv,aa,ak,cb,v,bq,ct,cs,af,bg,af,cs,c2
bx,l,v,bv,aa,am,ah,cr,cr,ct,aa,af,cl,cn,cs,c2
bx,cu,bf,bv,aa,by,bu,ct,co,ct,ap,af,bk,bg,l,c2
bx,aw,cd,bv,aa,cp,z,v,bx,ct,at,af,bo,ci,h,c2
bx,w,bg,bv,aa,bi,l,aq,ae,ct,bt,af,cf,x,bu,c2
bx,ce,bu,bv,aa,ay,g,bw,x,ct,bz,af,bt,ah,cc,c2
bx,z,an,bv,aa,bd,ad,by,i,ct,f,af,g,l,be,c2
bx,ak,bb,bv,aa,cq,ar,by,cb,ct,ab,af,j,aj,cf,c2
bx,ai,ca,bv,aa,m,ay,ct,ce,ct,s,af,ca,v,ag,c2
cq,bk,s,an,ck,co,bn,ax,j,cu,v,ao,cg,ce,ae,c1
ck,bl,s,an,bi,t,bn,ax,j,p,cl,ah,ac,cv,bz,c1
bx,ak,bo,bv,aa,be,ai,ag,ce,ct,af,af,az,bc,bp,c2
bx,bn,a,bv,aa,bc,c,ct,bw,ct,cj,af,au,cs,k,c2
bx,bm,cd,bv,aa,bs,ci,cs,k,ct,n,af,t,v,ab,c2
be,cd,s,an,bt,ci,bn,ax,j,ak,ax,bh,cm,b,bv,c1
bx,ba,bj,bv,aa,ay,n,au,s,ct,i,af,as,cp,x,c2
bx,n,p,bv,aa,bx,an,ao,ca,ct,cr,af,bf,cv,k,c2
ab,cf,s,an,co,bx,bn,ax,j,r,bj,al,bt,bv,k,c1
cr,ct,s,an,y,u,bn,ax,j,bh,aj,be,cd,cr,f,c1
ak,be,s,an,ad,ao,bn,ax,j,as,c,br,bt,ax,ca,c1
r,b,s,an,cn,h,bn,ax,j,af,n,r,cv,bx,p,c1
ag,ar,s,an,bg,ch,bn,ax,j,ct,ar,w,z,cr,s,c1
ce,n,s,an,ba,i,bn,ax,j,cb,ap,cu,ak,z,bi,c1
ae,cs,s,an,ap,av,bn,ax,j,bx,aj,ce,a,q,w,c1
g,bs,s,an,ai,br,bn,ax,j,cv,bx,v,bn,cp,n,c1
au,by,s,an,bm,ci,bn,ax,j,ct,au,bd,bx,cn,az,c1
e,bp,s,an,cq,bl,bn,ax,j,ap,bw,cp,ce,c,at,c1
bl,ak,s,an,bf,ai,bn,ax,j,cf,a,ao,bh,br,ak,c1
bx,e,a,bv,aa,ab,ag,bj,l,ct,j,af,bg,k,bj,c2
bc,u,s,an,ai,t,bn,ax,j,ca,af,s,bh,be,bd,c1
bx,u,ai,bv,aa,be,bi,cj,bj,ct,az,af,h,y,i,c2
g,v,s,an,d,o,bn,ax,j,bh,cv,r,am,bl,am,c1
bx,bo,cb,bv,aa,co,ai,bb,be,ct,c,af,ab,bb,bi,c2
bx,aw,bl,bv,aa,bd,cf,cj,br,ct,z,af,y,an,ap,c2
bx,bh,q,bv,aa,bo,y,r,bc,ct,w,af,bh,z,cb,c2
bv,bk,s,an,bk,ck,bn,ax,j,j,ck,aa,o,bo,bj,c1
aa,by,s,an,bi,ah,bn,ax,j,ag,cd,cd,u,ag,bk,c1
ag,p,s,an,m,cl,bn,ax,j,ca,ak,cj,q,an,o,c1
bx,ah,bc,bv,aa,bk,ap,ac,k,ct,r,af,bh,ax,ar,c2
bx,bc,bm,bv,aa,d,cl,cr,bu,ct,bj,af,d,j,ay,c2
ag,a,s,an,ad,s,bn,ax,j,k,u,bt,bv,bv,d,c1
bx,al,cs,bv,aa,bo,j,a,k,ct,cp,af,cp,p,ap,c2
bx,f,ci,bv,aa,d,cl,cn,v,ct,q,af,be,as,ab,c2
bx,j,ay,bv,aa,an,i,g,cb,ct,ay,af,ao,br,co,c2
bx,bt,bd,bv,aa,cf,af,bq,ap,ct,cb,af,l,cb,bi,c2
b,cl,s,an,ch,aa,bn,ax,j,cn,m,d,bl,aj,am,c1
bx,an,aw,bv,aa,bv,aa,bh,aj,ct,av,af,ck,ck,y,c2
as,v,s,an,bo,o,bn,ax,j,bk,bb,be,bx,bp,bh,c1
bx,ah,j,bv,aa,t,cf,ar,o,ct,bj,af,ci,n,ac,c2
bx,ag,ai,bv,aa,cb,aq,ct,l,ct,cj,af,az,aj,cc,c2
bx,d,bc,bv,aa,ab,cl,g,cg,ct,j,af,ce,ai,ai,c2
bx,bd,q,bv,aa,aa,bd,bd,cb,ct,ci,af,c,f,cl,c2
bx,m,h,bv,aa,cp,at,bx,bf,ct,cs,af,af,l,ad,c2
bx,bl,bd,bv,aa,cv,b,bt,cr,ct,e,af,ch,q,ao,c2
bx,d,cu,bv,aa,bz,v,cm,ae,ct,p,af,by,ci,ak,c2
bx,bj,x,bv,aa,k,p,ce,bl,ct,bo,af,m,k,cc,c2
bx,i,bw,bv,aa,ch,ct,aq,bp,ct,ax,af,at,r,at,c2
ak,co,s,an,t,ay,bn,ax,j,k,ce,au,k,be,az,c1
bx,an,cd,bv,aa,cn,u,ay,an,ct,bq,af,bf,cm,bz,c2
bp,i,s,an,bv,u,bn,ax,j,bu,j,k,bp,w,v,c1
bp,r,s,an,ai,bh,bn,ax,j,cs,bi,f,b,ao,br,c1
bx,ar,u,bv,aa,ah,br,ax,cl,ct,ap,af,af,bc,cp,c2
bn,cj,s,an,az,w,bn,ax,j,j,be,ar,an,bm,cp,c1
bx,bc,co,bv,aa,at,r,bg,bv,ct,bh,af,b,co,an,c2
bx,bu,q,bv,aa,ax,bs,al,v,ct,cq,af,by,aq,cn,c2
bx,by,bx,bv,aa,be,j,l,bz,ct,cm,af,bs,cr,i,c2
c,i,s,an,v,bp,bn,ax,j,bc,bt,bk,bc,aq,bb,c1
bx,ab,cm,bv,aa,am,ce,ca,ba,ct,aq,af,az,l,bu,c2
bx,s,u,bv,aa,cd,bi,u,n,ct,ai,af,n,au,c,c2
bx,ap,ak,bv,aa,ai,v,m,cl,ct,ap,af,bl,aq,ah,c2
bx,by,ch,bv,aa,ao,bo,bf,cp,ct,bl,af,bw,au,ac,c2
bx,ar,bq,bv,aa,ce,ce,av,by,ct,as,af,d,bp,bv,c2
bx,a,be,bv,aa,h,ag,ca,bn,ct,cj,af,cu,bv,aa,c2
bw,bc,s,an,aa,n,bn,ax,j,ct,bc,ad,bp,bc,bp,c1
bx,am,ca,bv,aa,by,bc,ah,ax,ct,c,af,bd,ci,cf,c2
bf,aq,s,an,m,bt,bn,ax,j,aa,o,h,bs,y,ag,c1
bx,cj,au,bv,aa,cd,z,by,s,ct,q,af,bv,a,bu,c2
cn,cs,s,an,bq,m,bn,ax,j,bm,a,bp,d,v,ba,c1
bx,cs,bq,bv,aa,bn,q,cp,bq,ct,ci,af,g,ca,cr,c2
ap,ba,s,an,l,u,bn,ax,j,cq,cn,cl,cs,u,aa,c1
bx,o,bj,bv,aa,ao,ao,h,f,ct,c,af,bp,aw,y,c2
ar,am,s,an,x,b,bn,ax,j,ap,ax,ct,t,an,cr,c1
bx,m,cp,bv,aa,a,ad,n,cb,ct,az,af,ck,cu,c,c2
cq,bz,s,an,bd,c,bn,ax,j,cd,bi,w,cd,c,cs,c1
bx,bb,be,bv,aa,ad,g,cs,ak,ct,ab,af,az,cl,am,c2
bx,cs,l,bv,aa,ct,an,br,at,ct,co,af,ca,cr,cs,c2
br,ao,s,an,t,bi,bn,ax,j,bn,ab,bz,ag,ax,bm,c1
bh,k,s,an,ca,i,bn,ax,j,cv,x,aq,ae,bz,at,c1
bx,g,aq,bv,aa,ak,bp,aa,j,ct,cj,af,z,ce,cb,c2
ac,b,s,an,bn,ci,bn,ax,j,cu,bx,bw,bv,ci,q,c1
g,ci,s,an,ax,l,bn,ax,j,am,g,bw,ce,bj,bk,c1
bx,bt,cp,bv,aa,ae,bv,ac,av,ct,n,af,aj,cp,bk,c2
bb,aa,s,an,l,bk,bn,ax,j,av,s,j,y,ai,bw,c1
bh,c,s,an,bn,br,bn,ax,j,j,bp,av,bp,bh,bj,c1
ca,ch,s,an,r,ak,bn,ax,j,co,an,cn,bt,o,q,c1
cf,bu,s,an,bg,bv,bn,ax,j,ax,l,bh,bq,am,bx,c1
co,bj,s,an,ca,l,bn,ax,j,bp,bn,br,ax,ch,cq,c1
cn,cq,s,an,v,al,bn,ax,j,c,bc,ay,bb,ca,cv,c1
bo,o,s,an,ck,cm,bn,ax,j,o,bf,u,k,ch,ab,c1
cu,d,s,an,ap,cm,bn,ax,j,cd,g,b,s,bw,z,c1
bx,v,ct,bv,aa,h,br,ap,n,ct,bi,af,ab,p,bl,c2
bx,bo,at,bv,aa,bt,cq,cv,bt,ct,aw,af,ax,q,co,c2
bs,s,s,an,q,bx,bn,ax,j,ba,t,ch,l,s,au,c1
bx,at,a,bv,aa,ao,ch,d,am,ct,bt,af,ah,ck,bj,c2
bx,bz,cb,bv,aa,ai,bd,ck,ca,ct,ag,af,cp,cf,cf,c2
bx,bz,br,bv,aa,be,bm,ae,cr,ct,af,af,g,br,bl,c2
bx,bt,ae,bv,aa,aw,bu,ci,d,ct,ch,af,ai,aa,bq,c2
bx,k,bl,bv,aa,bz,bo,p,bq,ct,bn,af,d,bw,bw,c2
cb,by,s,an,bn,d,bn,ax,j,bv,aq,ag,cu,ck,ct,c1
bx,bf,y,bv,aa,an,ah,bs,bd,ct,x,af,az,c,ca,c2
bx,be,ce,bv,aa,ax,z,bk,be,ct,j,af,bb,m,az,c2
bp,e,s,an,bm,bd,bn,ax,j,af,bl,bc,bg,ae,ao,c1
bx,ck,av,bv,aa,at,aj,cs,s,ct,au,af,ao,av,bn,c2
t,ah,s,an,u,cp,bn,ax,j,t,bo,at,ax,i,bp,c1
bq,bu,s,an,cp,ba,bn,ax,j,i,bn,p,be,p,bi,c1
ch,l,s,an,w,bq,bn,ax,j,al,i,aj,cr,cs,cr,c1
bx,by,at,bv,aa,x,bu,r,bm,ct,bu,af,y,n,bv,c2
bx,cc,x,bv,aa,t,bk,t,b,ct,aw,af,cn,h,ay,c2
bx,bq,ao,bv,aa,au,bq,cb,c,ct,cn,af,bk,cf,aj,c2
bx,p,am,bv,aa,f,ap,bs,bj,ct,cj,af,ad,cv,an,c2
bx,cj,l,bv,aa,cb,bo,bo,bk,ct,ai,af,as,g,bk,c2
bx,cr,am,bv,aa,bs,cj,aw,bi,ct,aj,af,n,bf,l,c2
ah,cs,s,an,cj,ao,bn,ax,j,br,bi,au,bn,bv,cg,c1
bw,ac,s,an,ao,ao,bn,ax,j,ah,ao,ax,bw,am,bg,c1
bx,bx,a,bv,aa,cr,am,b,p,ct,bp,af,cl,bw,ci,c2
cu,cu,s,an,bw,cn,bn,ax,j,ao,ap,bt,ad,cu,bz,c1
bx,ct,bn,bv,aa,cm,cv,aw,bn,ct,ce,af,j,br,b,c2
bx,bk,al,bv,aa,an,x,bg,r,ct,cc,af,ak,ch,bw,c2
y,as,s,an,br,ck,bn,ax,j,br,cf,ar,cd,by,cr,c1
bx,bk,an,bv,aa,d,b,u,af,ct,v,af,ct,q,ai,c2
cs,f,s,an,co,az,bn,ax,j,v,s,af,cb,aj,o,c1
az,j,s,an,ck,ct,bn,ax,j,b,ba,cj,ax,o,w,c1
co,r,s,an,n,y,bn,ax,j,ch,bf,l,x,ct,ai,c1
bx,bf,ar,bv,aa,cm,av,n,a,ct,cd,af,k,al,bl,c2
e,ce,s,an,ag,bj,bn,ax,j,cn,aj,u,x,cg,ay,c1
bp,bk,s,an,cp,cr,bn,ax,j,cu,k,bf,r,bf,au,c1
bx,ag,ca,bv,aa,bj,cd,bc,bh,ct,al,af,cp,bz,ce,c2
bx,ae,g,bv,aa,ab,u,s,s,ct,u,af,i,aq,f,c2
au,bt,s,an,ao,ao,bn,ax,j,cr,bs,ae,cs,bx,aa,c1
bu,av,s,an,ap,ck,bn,ax,j,cc,r,g,a,cc,ac,c1
ab,bh,s,an,ap,o,bn,ax,j,n,by,aq,as,bz,f,c1
bv,e,s,an,x,aa,bn,ax,j,at,cu,av,q,i,at,c1
bx,cc,cf,bv,aa,v,ac,bm,as,ct,ah,af,ah,an,by,c2
bx,cn,bs,bv,aa,p,ax,bz,by,ct,ca,af,g,cj,ak,c2
bx,av,s,bv,aa,aw,r,j,bm,ct,cr,af,an,bf,ak,c2
al,e,s,an,j,l,bn,ax,j,bw,ab,aq,l,bw,aa,c1
ba,cn,s,an,bv,e,bn,ax,j,k,aa,v,ao,w,ch,c1
bx,h,m,bv,aa,ag,br,cl,af,ct,cj,af,z,ay,ct,c2
be,co,s,an,r,co,bn,ax,j,ch,bm,ce,i,cs,ce,c1
bx,j,x,bv,aa,k,cl,af,bh,ct,ce,af,h,aj,cj,c2
bx,ck,bw,bv,aa,ah,cr,ak,cs,ct,ck,af,s,bm,bn,c2
ad,h,s,an,g,bv,bn,ax,j,f,k,aq,ca,bm,d,c1
bx,ae,u,bv,aa,ce,ct,at,by,ct,l,af,ai,p,bg,c2
bx,ab,bz,bv,aa,ci,ar,bo,a,ct,ar,af,bw,bc,y,c2
bx,q,cn,bv,aa,c,ct,cf,n,ct,bt,af,h,ck,at,c2
bx,aq,ag,bv,aa,ak,a,bq,cd,ct,ck,af,cn,w,ab,c2
bx,bk,ba,bv,aa,ab,a,ct,aa,ct,bg,af,be,aw,al,c2
bx,co,am,bv,aa,bw,bf,ar,ag,ct,bo,af,bu,g,cd,c2
bx,bl,y,bv,aa,ce,ch,be,ac,ct,ah,af,bd,af,cn,c2
bx,bo,aq,bv,aa,co,z,e,bo,ct,bi,af,cv,y,cd,c2
bx,cm,aw,bv,aa,cv,ah,bf,am,ct,ce,af,e,u,al,c2
cn,ct,s,an,m,bm,bn,ax,j,cb,bo,h,t,at,bd,c1
bx,bq,r,bv,aa,bz,a,bp,au,ct,bm,af,o,ch,ax,c2
au,u,s,an,q,v,bn,ax,j,bt,u,cr,bw,a,ck,c1
bx,cr,q,bv,aa,az,ba,aq,cp,ct,cr,af,bh,bh,z,c2
ar,am,s,an,az,cn,bn,ax,j,bn,aj,cs,by,cq,ap,c1
bx,aw,ag,bv,aa,a,ak,bw,d,ct,ab,af,bi,bx,o,c2
bx,az,am,bv,aa,bt,bw,bw,bm,ct,cu,af,bu,bq,cb,c2
bx,y,bz,bv,aa,bh,y,y,ac,ct,be,af,ae,ai,av,c2
bx,cq,ay,bv,aa,bk,at,bd,as,ct,cj,af,bl,bi,cm,c2
bx,bk,bu,bv,aa,cb,ci,bz,au,ct,ai,af,aq,ay,w,c2
bx,ar,o,bv,aa,aq,bk,aj,av,ct,bc,af,n,m,w,c2
bx,p,bc,bv,aa,ci,an,cf,bu,ct,f,af,bq,k,ci,c2
bx,y,bb,bv,aa,a,bd,z,q,ct,p,af,b,cb,a,c2
aw,cl,s,an,i,ci,bn,ax,j,ah,ar,bu,ar,o,bv,c1
cb,ck,s,an,ag,a,bn,ax,j,v,o,i,cd,cg,bt,c1
bx,am,cn,bv,aa,bv,ba,cb,d,ct,v,af,cq,al,aq,c2
ba,cs,s,an,ao,u,bn,ax,j,bz,cn,aq,bt,ca,x,c1
ar,ah,s,an,ac,cj,bn,ax,j,bg,bz,cs,cj,bn,br,c1
bx,bq,bj,bv,aa,j,ad,aq,aa,ct,x,af,az,ak,am,c2
b,bq,s,an,az,bi,bn,ax,j,aa,j,az,bg,bf,am,c1
bi,al,s,an,bk,y,bn,ax,j,l,bw,x,d,bs,j,c1
ag,bi,s,an,cf,aa,bn,ax,j,ab,bu,ch,ax,bw,cj,c1
