@relation data_100_20_5_10_10_500

@attribute A1 {q,e,h,g,d,b,a,m,l,s,p,j,i,r,f,o,c,t,n,k}
@attribute A2 {n,c,k,a,d,o,q,s,t,r,e,p,g,f,i,m,j,h,b,l}
@attribute A3 {o,b,c,a,m,q,e,p,s,h,i,n,k,j,t,r,l,d,f,g}
@attribute A4 {h,q,b,l,t,g,p,j,e,o,k,m,r,d,f,s,n,c,a,i}
@attribute A5 {r,j,d,a,p,h,c,e,l,m,q,g,t,n,b,i,f,o,s,k}
@attribute A6 {t,a,q,k,s,h,f,m,i,r,o,l,d,j,c,b,p,g,n,e}
@attribute A7 {j,c,h,l,r,k,d,f,a,i,s,n,e,b,t,q,g,p,o,m}
@attribute A8 {s,j,h,a,q,n,d,r,p,c,m,t,k,e,o,f,i,g,l,b}
@attribute A9 {m,r,k,b,i,f,h,n,d,o,q,p,l,a,s,c,e,t,j,g}
@attribute A10 {d,a,o,h,j,s,t,e,l,c,m,k,r,b,n,g,q,f,p,i}
@attribute A11 {p,o,i,j,f,d,s,l,n,t,r,m,a,g,q,k,b,c,e,h}
@attribute A12 {t,r,q,e,i,k,s,j,b,a,d,f,g,c,h,l,o,p,n,m}
@attribute A13 {b,h,g,s,e,l,c,j,t,o,d,i,f,n,a,k,p,q,r,m}
@attribute A14 {l,t,o,r,m,s,p,f,c,a,g,n,q,h,k,j,d,e,i,b}
@attribute A15 {t,k,a,g,q,n,f,o,h,c,m,b,j,l,e,r,d,p,i,s}
@attribute A16 {j,a,d,f,p,c,k,e,i,n,q,l,h,g,s,r,t,o,b,m}
@attribute A17 {d,i,f,s,t,n,o,l,e,b,q,g,j,a,p,m,h,c,r,k}
@attribute A18 {g,c,i,n,r,f,o,s,a,q,b,h,m,l,j,t,k,d,p,e}
@attribute A19 {f,o,p,n,c,l,q,j,i,k,r,d,s,m,g,e,t,a,h,b}
@attribute A20 {e,g,a,m,f,s,t,p,l,o,q,j,d,b,c,n,r,h,i,k}
@attribute A21 {k,e,l,b,f,n,d,a,q,j,s,r,t,o,h,c,p,i,m,g}
@attribute A22 {o,f,r,q,j,d,t,p,i,l,m,n,g,s,a,c,k,h,e,b}
@attribute A23 {n,l,c,o,h,g,q,b,t,a,i,k,f,s,j,m,r,d,p,e}
@attribute A24 {t,f,m,g,a,h,s,i,e,n,k,c,b,j,r,l,o,q,d,p}
@attribute A25 {q,a,c,j,r,g,e,p,f,s,m,n,d,i,b,t,o,k,l,h}
@attribute A26 {c,f,g,q,d,j,m,i,n,s,l,b,o,k,h,a,r,t,p,e}
@attribute A27 {b,n,s,f,p,d,o,h,i,r,g,c,q,l,k,m,a,t,j,e}
@attribute A28 {o,t,r,l,k,q,i,n,c,h,f,g,s,j,d,p,b,m,a,e}
@attribute A29 {l,f,k,n,i,c,m,j,b,s,g,p,q,a,d,e,h,r,o,t}
@attribute A30 {s,k,c,g,q,e,h,f,p,d,t,a,r,o,b,i,l,n,j,m}
@attribute A31 {k,g,j,p,i,a,o,d,n,e,c,h,l,q,b,s,m,t,r,f}
@attribute A32 {d,l,m,j,a,c,k,g,r,s,p,b,q,o,t,i,n,h,f,e}
@attribute A33 {q,a,f,j,c,e,k,i,n,o,g,r,b,d,h,s,t,p,l,m}
@attribute A34 {t,a,p,b,l,s,n,f,r,k,e,j,o,m,q,g,d,c,i,h}
@attribute A35 {k,b,l,d,i,a,m,g,r,n,o,j,c,p,t,q,f,e,s,h}
@attribute A36 {o,m,h,d,c,f,t,i,e,r,n,q,b,j,l,p,s,a,k,g}
@attribute A37 {l,f,k,d,s,c,p,r,a,o,h,n,b,q,m,t,j,g,e,i}
@attribute A38 {l,p,n,j,b,g,a,t,h,r,c,f,d,o,i,k,q,m,s,e}
@attribute A39 {m,g,e,f,i,a,s,o,j,c,d,q,k,t,l,r,p,b,n,h}
@attribute A40 {o,f,r,b,d,q,h,e,l,j,a,n,t,k,m,p,c,s,i,g}
@attribute A41 {r,m,f,j,l,b,s,e,g,o,c,k,t,n,a,h,d,i,p,q}
@attribute A42 {j,b,m,h,d,g,k,r,n,q,l,f,t,e,s,a,p,c,o,i}
@attribute A43 {k,b,p,j,m,s,n,d,o,c,q,r,i,a,f,t,g,h,l,e}
@attribute A44 {t,n,q,f,k,b,g,r,c,i,d,s,l,m,a,h,o,e,j,p}
@attribute A45 {g,t,b,i,q,o,m,j,k,s,e,r,p,l,a,h,n,f,d,c}
@attribute A46 {c,t,h,f,k,q,b,d,l,s,i,p,n,g,r,m,e,o,j,a}
@attribute A47 {d,t,l,j,h,f,s,m,g,o,q,c,b,r,a,e,k,n,i,p}
@attribute A48 {r,s,i,q,c,a,b,f,j,g,t,l,o,n,m,k,e,d,p,h}
@attribute A49 {j,g,o,r,m,d,b,p,k,f,n,e,i,q,l,t,c,s,a,h}
@attribute A50 {h,l,g,t,p,m,f,a,i,r,b,s,d,k,q,c,o,e,j,n}
@attribute A51 {b,i,p,c,j,g,f,d,n,k,m,s,t,q,l,h,o,a,r,e}
@attribute A52 {k,j,q,n,l,a,p,e,m,s,t,g,c,o,f,b,d,r,i,h}
@attribute A53 {t,r,o,d,e,g,n,c,b,s,k,j,f,a,l,i,m,q,p,h}
@attribute A54 {b,t,k,f,q,g,m,r,c,d,a,j,l,p,o,h,e,n,i,s}
@attribute A55 {f,h,k,o,m,t,l,j,i,e,q,c,g,p,n,a,s,d,r,b}
@attribute A56 {r,n,g,c,l,j,h,e,b,s,p,t,f,a,d,k,m,o,i,q}
@attribute A57 {t,a,n,j,g,i,q,k,r,p,l,s,m,h,b,c,e,f,o,d}
@attribute A58 {t,r,f,m,h,c,o,s,g,k,n,d,b,i,q,l,p,j,e,a}
@attribute A59 {k,l,p,g,b,r,n,j,c,m,s,o,f,h,e,i,t,a,q,d}
@attribute A60 {c,r,h,j,m,g,s,k,o,f,i,d,a,p,e,t,l,n,b,q}
@attribute A61 {f,n,j,r,k,p,a,q,i,m,b,t,e,h,c,l,o,s,g,d}
@attribute A62 {b,e,l,j,d,k,f,r,n,c,i,a,s,g,q,m,h,o,t,p}
@attribute A63 {b,r,p,j,a,l,m,o,f,q,i,n,c,g,e,d,h,s,k,t}
@attribute A64 {k,l,n,m,s,i,h,b,c,t,j,d,r,q,p,o,g,f,a,e}
@attribute A65 {q,m,j,k,t,o,l,h,c,a,s,b,p,i,r,d,e,g,f,n}
@attribute A66 {t,j,k,g,i,c,s,o,h,e,d,b,f,a,r,n,p,l,q,m}
@attribute A67 {i,f,n,q,l,b,e,o,s,r,m,g,d,j,h,c,k,a,t,p}
@attribute A68 {a,m,r,h,j,p,k,q,e,d,c,i,n,b,l,s,o,g,f,t}
@attribute A69 {c,a,t,l,b,s,e,f,m,k,n,q,r,j,p,i,d,g,h,o}
@attribute A70 {b,p,d,q,a,m,k,c,f,r,n,g,l,s,i,e,o,j,h,t}
@attribute A71 {p,h,s,n,m,k,q,f,e,l,d,o,j,t,g,i,c,b,r,a}
@attribute A72 {p,q,t,n,k,f,l,s,a,j,d,m,c,e,r,g,b,h,o,i}
@attribute A73 {t,j,g,s,h,k,n,f,q,a,o,l,e,d,b,c,i,r,m,p}
@attribute A74 {j,g,n,d,a,t,h,q,b,o,r,c,m,p,k,f,e,l,s,i}
@attribute A75 {h,e,o,p,k,f,a,c,s,d,t,n,i,m,b,g,r,l,j,q}
@attribute A76 {p,f,g,h,a,o,n,c,e,s,m,r,k,i,b,t,l,q,j,d}
@attribute A77 {p,f,b,s,d,h,g,a,i,n,k,t,l,q,e,o,m,j,c,r}
@attribute A78 {n,p,q,d,s,b,l,j,c,t,e,r,i,h,o,m,k,f,a,g}
@attribute A79 {q,r,j,s,o,n,a,t,m,b,l,h,k,d,e,c,p,f,g,i}
@attribute A80 {k,h,l,p,s,r,n,b,t,i,f,d,m,o,e,a,g,q,j,c}
@attribute A81 {a,t,s,p,b,r,g,j,e,q,f,c,d,n,h,m,l,i,o,k}
@attribute A82 {k,d,m,e,o,l,t,c,g,a,s,n,p,q,j,i,h,r,f,b}
@attribute A83 {t,i,e,m,o,s,d,l,h,n,g,q,k,f,a,b,c,r,p,j}
@attribute A84 {a,j,d,f,n,t,q,m,r,p,o,h,l,k,g,c,b,s,e,i}
@attribute A85 {l,q,n,c,t,r,a,e,m,j,g,o,p,h,s,f,k,b,d,i}
@attribute A86 {a,c,k,d,t,o,f,q,l,m,b,n,h,e,j,p,i,r,s,g}
@attribute A87 {a,b,e,i,s,h,o,j,m,d,c,f,g,n,p,r,l,k,t,q}
@attribute A88 {b,o,s,f,j,c,e,r,m,p,l,k,h,n,t,a,g,i,q,d}
@attribute A89 {n,e,o,b,l,m,f,j,g,d,i,s,p,c,q,k,t,h,r,a}
@attribute A90 {l,j,n,s,p,a,c,g,h,m,e,r,t,b,f,o,k,i,d,q}
@attribute A91 {j,a,e,k,d,q,n,b,o,p,t,f,i,h,l,r,s,m,c,g}
@attribute A92 {i,e,f,c,r,s,d,a,m,t,k,l,g,p,h,o,j,b,n,q}
@attribute A93 {r,a,j,i,n,k,l,m,c,g,t,p,e,o,q,d,b,h,s,f}
@attribute A94 {h,m,e,s,t,b,q,o,j,c,p,n,f,d,g,r,i,a,l,k}
@attribute A95 {l,p,r,k,s,m,f,o,t,c,g,n,e,j,i,a,d,q,b,h}
@attribute A96 {m,q,r,n,b,l,g,t,h,a,s,e,i,c,d,p,j,k,o,f}
@attribute A97 {q,d,s,h,j,c,k,g,m,r,f,n,e,l,b,p,a,t,o,i}
@attribute A98 {q,h,i,l,n,p,o,a,t,f,g,e,r,d,c,k,m,b,s,j}
@attribute A99 {o,h,t,p,a,g,b,m,l,i,j,e,q,r,f,n,c,d,k,s}
@attribute A100 {e,m,c,o,f,g,i,s,t,r,k,h,l,b,p,j,d,n,a,q}
@attribute Class {c4,c3,c2,c1,c5}

@data
d,j,p,h,a,d,f,i,d,t,p,h,b,f,t,a,j,q,d,d,m,m,g,e,p,j,j,s,s,f,m,s,e,t,n,p,c,g,s,e,k,h,s,a,o,j,m,m,i,g,a,b,g,h,l,s,g,d,q,s,e,o,b,p,t,q,d,o,s,p,o,f,j,o,o,s,h,r,f,r,o,q,f,e,j,o,i,m,f,r,d,c,m,q,r,o,m,o,b,r,c5
r,e,l,h,e,l,g,a,f,o,o,d,b,r,t,o,d,l,t,d,j,l,r,a,j,f,l,h,p,b,h,a,k,c,g,a,q,f,a,j,n,d,k,e,c,i,q,p,l,i,t,g,t,q,p,r,t,i,t,c,f,r,m,t,h,p,t,a,h,r,m,h,k,o,p,a,c,n,b,k,p,n,d,d,i,s,a,c,m,d,j,m,n,g,q,q,m,n,f,i,c4
l,l,s,l,e,p,c,e,o,a,p,n,m,k,d,r,i,s,p,j,m,k,s,g,c,n,t,g,m,t,l,r,m,s,h,m,f,p,d,k,j,h,t,j,b,b,k,i,n,d,i,c,e,l,f,n,q,c,r,h,e,t,a,k,e,e,a,g,n,p,m,k,a,o,n,m,h,o,m,d,f,o,a,k,j,c,f,h,b,g,o,m,n,m,g,t,m,j,q,r,c3
s,i,f,h,s,o,c,l,s,a,f,e,b,r,o,b,i,d,m,d,h,j,j,i,k,f,n,c,b,t,h,k,e,i,n,m,f,p,p,c,b,a,j,j,o,r,h,l,a,c,i,r,f,s,g,n,p,t,g,k,k,m,b,d,j,k,b,j,q,p,n,g,o,i,j,i,o,d,k,e,a,q,m,q,e,c,o,s,s,f,l,n,j,m,f,p,l,f,h,i,c3
o,j,c,e,r,s,n,p,j,l,d,k,q,d,k,d,c,j,p,i,l,i,c,q,l,g,k,s,a,c,c,m,g,d,q,c,n,f,s,c,d,p,h,s,g,d,s,s,e,j,p,j,q,i,i,j,n,e,g,a,m,t,l,c,h,j,k,p,n,p,k,e,f,b,i,s,t,a,o,t,s,e,n,d,b,b,o,b,q,m,s,h,b,p,c,j,k,f,o,c,c2
n,r,p,b,i,h,d,k,n,t,p,g,j,t,n,o,s,n,o,f,j,g,n,a,a,m,k,o,k,h,d,j,s,c,p,s,h,f,f,s,s,c,t,n,s,n,c,l,b,t,a,d,k,j,k,p,h,s,d,j,o,g,o,c,g,a,j,r,t,g,j,e,a,l,c,p,t,t,s,n,o,g,q,f,l,h,i,p,n,p,e,g,p,s,l,o,r,o,g,a,c1
d,i,p,n,k,c,o,b,d,t,o,n,o,o,r,e,l,q,i,g,n,h,g,b,n,j,h,c,q,r,o,d,f,j,e,s,p,d,l,p,c,g,p,q,t,s,g,o,l,i,p,b,g,q,l,k,m,r,l,b,f,g,t,s,b,r,e,g,q,h,p,q,m,d,c,s,b,j,j,b,n,e,f,l,d,i,h,p,h,t,d,q,s,l,d,o,m,q,b,d,c5
m,n,r,q,a,e,o,s,q,c,i,c,q,n,t,q,m,p,b,a,b,t,j,o,n,r,a,i,g,c,o,b,p,p,s,s,a,h,c,i,l,f,k,f,s,p,g,p,r,t,f,k,l,d,h,r,t,k,t,c,f,b,a,o,g,a,s,a,t,s,s,q,m,q,a,s,e,n,l,k,a,s,n,o,n,n,a,e,m,s,j,c,q,t,d,r,c,m,k,a,c4
l,n,c,h,t,f,b,q,h,a,r,r,k,s,t,f,o,a,g,p,s,i,p,c,c,o,o,n,b,k,i,q,b,h,c,i,s,l,q,f,c,j,k,t,k,c,p,a,n,n,f,i,h,r,a,r,t,e,l,c,f,c,t,c,o,p,s,a,k,n,k,l,r,k,b,m,q,n,k,k,d,h,r,d,j,q,a,t,r,m,j,m,c,c,m,p,l,i,j,n,c4
b,g,e,h,f,m,c,j,t,a,l,b,m,p,t,a,i,e,d,h,o,i,h,d,g,r,t,o,r,b,d,s,k,h,i,m,f,p,a,d,a,t,a,o,g,s,m,s,a,n,i,k,e,a,c,n,t,s,j,o,r,q,t,m,a,g,k,f,s,p,m,j,h,f,i,a,c,s,s,i,o,q,t,l,p,c,e,e,j,s,o,f,o,m,t,e,b,s,k,f,c3
d,m,t,b,i,n,e,e,d,t,b,c,a,m,t,m,t,q,h,m,l,t,g,b,t,j,t,i,h,c,s,s,j,a,e,j,t,f,k,a,k,l,s,i,j,e,o,m,c,h,a,j,a,g,l,j,s,b,s,e,l,g,o,c,e,a,g,r,s,h,i,b,t,s,j,s,a,h,m,b,g,f,q,d,d,a,i,s,k,s,d,m,a,e,p,j,m,q,b,h,c5
e,q,c,o,q,s,t,s,c,b,o,p,g,e,d,d,e,b,p,m,l,l,c,t,t,g,d,c,k,c,o,m,r,l,i,c,a,b,q,d,j,b,d,d,f,q,o,e,e,t,p,m,b,o,i,l,n,n,q,l,o,g,n,t,e,j,f,s,l,q,f,p,i,f,q,q,a,a,a,h,c,k,r,d,f,d,q,r,d,f,o,g,n,p,n,n,h,r,n,c,c2
d,g,h,m,d,a,n,b,d,t,r,l,o,j,r,b,g,q,i,g,i,o,g,k,k,j,j,c,f,t,p,p,s,o,l,r,o,s,c,g,e,r,g,a,r,m,s,m,s,g,l,j,n,g,l,c,b,n,m,d,p,m,t,m,h,g,e,l,l,s,s,m,q,h,e,s,o,o,c,n,d,o,a,h,m,l,a,s,h,m,d,o,j,p,e,e,m,e,b,p,c5
i,o,m,t,p,h,c,g,n,a,e,h,g,m,a,p,i,t,e,c,a,k,h,l,h,t,q,k,h,f,j,o,r,h,h,m,f,p,l,r,t,m,j,p,k,h,m,a,a,h,i,f,s,p,a,n,t,e,d,i,c,p,h,j,b,m,n,q,t,p,m,c,e,k,o,a,l,t,j,e,k,o,q,o,k,c,h,k,e,i,m,f,n,m,s,h,l,d,q,p,c3
h,p,c,n,r,a,t,j,g,k,i,l,f,e,p,d,h,s,p,s,l,n,i,h,j,g,n,c,j,c,j,m,e,c,s,o,q,t,t,a,c,k,t,d,p,l,p,e,i,l,p,k,p,r,k,c,n,k,i,s,h,e,t,o,m,i,k,g,p,k,h,q,s,h,h,s,i,e,e,s,l,b,b,d,p,c,j,e,e,a,j,a,p,j,g,g,a,o,a,c,c2
d,e,s,t,h,a,g,g,d,t,q,q,d,f,b,k,d,q,i,s,c,d,g,t,j,j,i,j,n,j,a,h,k,s,l,e,o,n,c,p,i,s,b,r,b,k,e,k,p,k,g,t,e,c,l,e,j,i,o,b,l,h,h,f,q,o,o,r,p,n,n,m,p,n,l,s,i,f,d,m,o,p,i,m,t,s,b,o,h,m,d,o,k,r,i,k,m,b,b,n,c5
l,m,c,p,m,l,b,s,r,g,m,a,p,e,l,d,c,m,p,b,l,j,f,c,j,g,s,p,s,c,m,m,l,k,m,f,e,a,k,d,r,m,h,m,c,l,s,d,t,p,p,k,b,g,n,t,n,j,e,b,s,k,s,p,o,s,l,t,f,k,o,m,a,n,a,f,e,c,e,l,f,f,e,d,o,c,a,c,o,b,b,h,q,s,o,s,l,r,b,c,c2
d,j,l,b,r,o,c,o,c,a,g,c,m,e,k,m,i,s,b,l,p,p,t,s,t,d,p,d,c,h,q,t,n,k,e,m,f,p,t,l,o,i,c,q,g,n,j,c,b,a,i,m,e,t,e,n,f,s,l,n,i,a,c,n,p,f,q,j,c,p,c,k,f,l,r,h,p,k,t,h,n,s,r,q,i,c,j,l,g,n,d,n,i,m,l,b,s,m,a,m,c3
m,g,o,f,m,h,m,n,o,a,a,t,r,e,t,q,b,c,o,e,p,l,i,g,k,s,l,r,o,t,b,f,c,l,q,e,b,j,s,j,r,h,k,g,l,q,g,b,q,e,t,m,c,d,h,r,t,h,e,c,f,g,c,f,e,r,c,a,s,b,s,s,m,a,s,q,l,n,f,k,i,c,q,a,k,t,a,o,t,f,j,k,i,n,j,q,f,k,e,l,c4
d,r,f,l,h,t,c,t,d,t,d,p,t,c,i,p,f,q,p,d,q,h,g,k,t,j,k,j,a,c,p,i,a,f,n,o,c,l,p,o,c,m,n,h,r,g,a,q,o,n,r,j,j,o,l,b,m,l,i,o,e,i,i,h,l,h,c,j,r,i,d,f,r,r,q,s,r,i,d,j,s,c,k,r,n,d,n,l,t,d,d,k,n,g,q,p,m,i,b,m,c5
e,j,c,g,h,r,s,s,n,g,a,n,f,i,n,p,s,n,l,k,j,r,o,c,b,s,l,o,k,p,c,j,r,j,g,t,e,k,f,a,q,n,q,r,b,t,c,g,i,t,d,g,m,j,e,k,g,l,a,j,g,j,n,b,m,g,h,r,t,r,p,a,r,j,n,b,l,f,p,n,i,g,i,f,b,q,q,i,a,q,s,e,f,o,g,c,m,d,j,h,c1
d,k,p,t,t,p,i,t,d,t,k,g,l,n,k,k,j,q,k,a,e,d,g,k,i,j,o,p,g,j,o,i,l,f,l,m,k,i,c,o,h,o,f,i,s,c,g,p,r,c,n,c,p,n,l,f,b,n,g,k,g,k,b,i,e,g,g,l,s,o,c,n,n,i,m,s,g,j,p,p,g,l,g,k,b,a,g,l,p,k,d,d,e,p,g,i,m,n,b,r,c5
t,m,k,j,l,p,t,k,d,h,j,t,d,h,t,o,g,f,b,d,r,o,j,h,t,t,b,l,r,g,p,t,j,h,t,t,q,d,d,p,c,q,k,m,p,o,f,l,n,e,l,i,r,k,k,r,t,a,a,c,f,m,a,q,l,e,q,a,d,p,d,s,j,j,b,g,j,n,b,k,p,i,c,n,i,q,a,f,q,k,j,f,d,c,p,e,r,a,i,m,c4
c,e,b,s,o,q,c,g,r,a,s,a,a,h,o,q,i,i,l,i,s,i,s,q,o,r,j,k,c,d,a,d,r,d,k,m,f,p,a,h,f,g,n,d,r,q,d,m,e,p,i,h,p,q,e,n,o,a,k,l,i,l,o,o,a,s,e,k,n,p,m,r,c,c,r,a,q,g,k,j,r,k,c,s,k,c,n,q,e,b,p,h,g,m,n,p,q,p,l,s,c3
m,h,c,k,k,c,q,m,g,m,q,e,f,l,r,d,t,s,p,q,l,d,o,s,n,g,g,a,i,c,q,m,k,s,f,l,r,a,t,e,a,k,q,p,s,b,e,l,g,q,p,g,h,d,p,a,n,i,r,q,g,l,n,g,k,i,e,t,b,c,e,f,m,b,o,g,h,o,h,n,c,k,j,d,p,n,b,a,c,e,b,k,o,t,t,r,m,o,d,c,c2
d,d,p,p,q,j,p,b,d,t,n,t,i,q,f,p,n,q,g,q,o,k,g,j,l,j,t,m,g,l,h,o,l,l,b,d,d,c,r,q,g,o,q,p,p,m,r,s,a,o,o,c,m,s,l,h,i,a,n,p,l,h,o,j,l,g,q,r,i,s,t,j,a,g,p,s,r,j,g,c,s,s,t,s,t,s,q,h,a,o,d,a,e,j,d,l,m,m,b,m,c5
r,t,g,q,g,n,r,c,r,g,b,o,f,l,t,k,b,d,g,i,l,i,t,q,s,p,q,e,i,f,l,m,s,g,f,s,g,o,h,l,c,f,k,k,i,s,f,i,b,k,a,n,h,a,a,r,t,r,a,c,f,o,a,g,t,q,h,a,n,e,s,b,s,h,e,n,i,n,a,k,n,p,h,q,b,l,a,b,g,j,j,i,i,m,j,r,s,k,k,l,c4
n,l,o,p,t,j,n,o,b,s,c,s,c,e,t,c,f,k,e,o,e,r,t,b,p,k,q,s,s,p,r,n,m,j,h,q,e,k,k,d,d,h,k,l,c,g,o,i,k,i,b,h,l,l,c,r,t,r,t,c,f,f,f,i,l,t,a,a,h,a,d,j,i,d,b,q,j,n,d,k,n,q,e,r,d,a,a,n,s,a,j,i,g,a,l,f,a,d,t,s,c4
d,j,p,e,k,q,g,a,d,t,n,a,e,a,e,k,s,q,j,n,k,n,g,n,q,j,l,i,q,a,m,d,f,o,i,f,t,g,p,b,h,h,k,s,f,c,j,m,l,h,l,p,d,g,l,l,g,b,b,q,n,q,g,d,e,t,p,g,e,e,e,n,d,j,l,s,e,l,q,s,i,n,a,h,r,k,n,a,q,h,d,p,p,p,m,q,m,r,b,l,c5
l,t,d,h,j,b,q,s,k,o,a,i,k,a,m,f,s,n,g,d,d,o,t,n,t,g,b,o,k,g,h,j,e,o,p,k,k,r,f,t,h,e,c,p,l,s,i,a,i,t,f,a,n,e,q,a,c,f,e,j,t,f,i,e,a,q,e,r,t,c,c,m,i,b,b,m,e,b,m,s,b,d,f,f,p,r,l,m,g,e,m,h,s,c,n,h,p,j,g,c,c1
m,b,j,n,n,l,c,t,g,a,g,c,f,n,l,q,i,b,o,n,b,a,p,d,b,r,s,t,f,d,i,i,c,g,g,m,f,p,r,b,e,g,g,p,g,g,f,f,d,i,i,l,e,j,a,n,d,i,c,a,t,l,q,l,h,t,t,s,h,p,j,c,h,e,i,k,h,l,o,g,p,j,b,q,b,c,e,c,o,g,b,o,r,m,t,k,n,d,h,m,c3
l,l,h,i,q,j,d,q,t,q,a,l,n,o,f,q,s,n,p,m,p,o,j,n,a,n,f,o,k,p,d,j,k,e,p,h,t,i,f,e,i,o,l,s,l,b,d,s,q,t,f,j,l,q,f,c,l,i,f,j,q,e,g,p,k,e,k,r,t,e,o,g,t,o,j,l,p,r,k,r,d,c,f,f,s,e,r,l,k,a,j,g,r,d,e,c,j,d,g,i,c1
o,t,k,j,c,k,r,d,g,e,i,j,b,j,t,c,k,j,a,q,n,o,p,h,g,j,t,q,g,m,a,i,t,n,g,o,j,i,b,k,t,b,k,h,q,r,r,a,d,o,n,l,m,m,s,r,t,l,g,c,f,a,e,k,f,e,r,a,f,d,e,p,k,p,p,d,b,n,b,k,m,a,i,b,l,h,a,d,h,r,j,h,r,i,n,t,m,f,h,q,c4
t,d,p,i,b,g,c,o,e,a,d,j,b,c,t,e,i,i,j,j,d,d,p,o,m,k,i,d,a,j,h,i,n,j,s,m,f,p,s,i,e,l,r,j,f,q,g,f,c,q,i,h,j,g,m,n,k,s,f,i,e,i,a,q,m,s,a,g,a,p,d,j,l,i,s,b,o,m,d,f,r,d,a,m,r,c,n,d,p,i,i,p,r,m,a,m,e,c,m,b,c3
l,g,g,b,q,b,c,e,r,a,c,f,e,m,c,h,i,o,q,e,n,m,l,i,m,o,k,g,m,t,e,o,d,m,f,m,f,p,i,p,j,q,t,s,r,m,g,a,l,i,i,e,o,k,k,n,g,q,c,q,h,s,j,h,n,f,c,q,n,p,q,t,f,k,b,a,t,h,s,f,a,i,c,q,a,c,j,b,j,m,j,n,g,m,p,l,g,j,o,h,c3
a,r,c,l,q,l,s,r,o,n,j,q,n,e,h,d,h,q,p,l,l,r,f,q,s,g,p,q,c,c,r,m,e,a,k,l,q,g,h,o,n,t,a,s,m,m,t,g,e,r,p,j,d,t,q,a,n,r,e,b,l,h,l,j,q,r,n,b,r,r,p,i,o,f,h,m,h,f,f,f,p,o,i,d,l,i,r,k,t,j,q,q,h,j,n,t,j,i,k,c,c2
d,q,c,a,j,b,f,b,d,t,k,p,s,j,f,k,e,q,b,j,i,q,g,g,f,j,k,f,j,h,l,p,l,s,k,r,m,o,m,a,q,k,t,n,m,r,q,d,k,h,a,o,f,c,l,j,e,k,a,f,d,e,t,c,k,i,s,q,f,j,d,e,r,n,e,s,l,o,f,t,j,p,f,p,r,k,r,o,k,g,d,s,j,m,t,n,m,p,b,i,c5
n,h,c,j,h,f,m,o,o,c,o,b,r,i,g,d,p,d,p,l,l,o,g,f,t,g,k,b,f,c,k,m,r,k,a,d,q,k,e,j,o,i,d,j,m,b,d,r,q,d,p,j,g,g,f,b,n,k,j,f,c,p,e,q,l,j,f,g,h,n,q,l,l,s,t,j,s,c,e,b,m,s,e,d,s,o,j,i,k,h,q,g,e,c,n,f,s,f,d,c,c2
d,n,a,s,f,f,c,l,n,a,d,e,b,s,g,n,i,n,i,t,l,b,b,a,a,l,m,q,f,b,g,h,q,i,b,m,f,p,b,d,s,f,l,r,i,d,j,t,d,j,i,i,s,b,k,n,s,f,f,q,o,p,i,m,k,j,k,r,r,p,g,a,r,q,n,r,h,r,g,m,g,o,k,k,l,c,i,c,h,d,f,f,h,m,r,h,b,j,a,o,c3
o,c,c,s,n,e,q,i,h,b,k,c,e,i,f,d,f,a,p,h,l,k,c,o,h,g,t,a,i,c,a,m,p,m,k,t,e,q,n,s,f,l,o,i,j,c,n,g,m,g,p,s,a,t,j,o,n,d,g,p,n,i,r,e,k,o,c,b,e,q,k,n,b,p,p,n,j,s,l,o,n,g,a,d,f,s,t,t,k,j,p,d,q,d,i,c,h,i,o,c,c2
o,h,c,e,h,o,c,i,f,a,p,c,b,e,f,b,i,c,q,s,p,m,a,c,s,b,c,t,f,a,i,h,s,n,b,m,f,p,a,h,o,i,e,m,a,n,l,j,f,r,i,f,b,m,o,n,l,n,s,i,h,d,j,i,d,g,l,f,e,p,n,l,k,f,s,s,o,q,f,a,j,h,s,i,h,c,h,q,c,l,h,h,d,m,i,j,b,e,i,m,c3
d,f,g,c,m,i,k,t,d,t,n,d,s,r,n,e,q,q,g,f,c,k,g,t,j,j,a,k,k,f,a,t,h,n,c,h,r,t,c,m,h,a,p,d,f,k,g,s,j,n,p,l,j,e,l,e,r,j,e,e,o,t,c,i,h,l,f,n,q,l,t,k,n,d,p,s,m,m,l,j,d,q,q,e,h,a,t,h,b,j,d,m,f,l,o,l,m,j,b,r,c5
c,b,r,g,j,s,d,l,a,f,s,q,j,h,q,c,s,n,r,k,n,q,e,s,f,e,m,o,k,a,a,j,m,c,c,g,r,f,f,i,q,q,p,k,j,b,c,d,f,t,h,c,d,a,n,s,h,f,f,j,f,e,n,m,l,c,i,r,t,g,g,h,h,p,j,r,m,n,m,t,o,n,j,f,s,l,n,r,r,q,t,o,b,s,j,e,e,l,g,e,c1
s,t,r,q,p,d,c,o,j,a,t,d,f,r,o,a,i,a,r,b,o,h,o,n,a,m,f,t,s,k,t,n,a,c,o,m,f,p,p,q,s,a,g,d,p,p,f,c,m,d,i,k,t,i,e,n,o,a,d,k,g,e,p,d,t,c,d,s,d,p,h,d,r,j,j,m,p,s,p,b,i,b,s,b,m,c,q,j,m,b,a,b,c,m,r,e,o,l,i,b,c3
