@relation data3

@attribute A {ar,v,d,ao,ae,an,r,as,p,ag,ax,w,n,u,ah,i,z,s,e,ab,aq,al,f,ad,aa,au,ai,t,m,ak,am,aw,q,ap,a,o,ac,af,l,at,h,c,aj,x,av,k,j,b,y,g}
@attribute B {i,al,ak,m,ax,t,ab,ao,aa,l,c,k,as,ah,ap,q,b,ac,v,x,j,af,ai,d,ae,o,ar,ad,u,an,y,n,at,aw,f,p,am,aq,h,av,g,r,a,w,s,au,e,z,ag,aj}
@attribute C {al,j,as,ak,b,r,g,o,ag,ah,p,an,m,ar,h,x,ad,ab,ao,q,f,ap,e,aw,ac,i,av,z,v,l,y,c,aq,aj,u,d,t,ai,w,at,ae,am,ax,n,a,s,aa,au,af,k}
@attribute D {aw,c,an,aa,f,q,m,y,o,ax,g,as,ak,ao,af,l,ag,at,aj,w,ai,u,av,ar,t,n,am,d,ae,ad,z,s,j,h,v,al,ab,ap,r,ac,i,e,a,b,x,ah,k,au,p,aq}
@attribute E {r,ah,g,al,p,ag,ad,af,j,h,ae,s,l,f,i,b,k,am,u,ak,ao,aa,ar,ac,v,c,e,aj,an,w,z,o,n,a,m,ab,aw,ap,ax,at,ai,y,au,q,x,aq,t,as,d,av}
@attribute F {av,v,ap,u,n,w,r,ax,ac,ab,ar,aa,o,ag,ah,a,al,h,m,s,j,p,e,y,af,au,ak,f,k,z,aq,aw,c,i,an,g,b,ai,at,d,as,q,am,x,ad,t,l,ao,ae,aj}
@attribute G {ax,an,t,j,s,p,at,c,v,ah,aj,ar,f,m,r,aa,w,l,a,e,y,i,ag,ap,u,af,au,ao,ae,x,ad,k,ai,am,ak,aq,ac,d,b,h,av,ab,aw,as,g,o,q,al,z,n}
@attribute H {d,g,p,f,av,aq,aw,q,ao,am,ak,ah,u,ab,x,ac,c,o,e,i,ai,ar,af,r,w,au,ad,ag,y,as,al,at,k,l,ax,n,b,a,h,t,aj,j,m,ap,ae,an,aa,z,v,s}
@attribute I {k,aj,q,r,am,n,au,v,av,d,b,ai,ak,f,z,an,l,u,i,ao,h,o,aq,g,ab,as,ad,c,ag,ar,a,af,ap,s,ax,aa,ac,w,j,aw,ah,p,t,at,m,y,al,e,x,ae}
@attribute J {ac,b,k,s,ag,av,v,ai,c,ap,ak,y,h,an,a,i,af,r,ab,j,am,aq,q,as,ax,w,d,z,m,o,at,ae,u,x,p,e,aw,ah,n,t,ar,aa,au,ao,aj,g,l,al,ad,f}
@attribute K {b,s,ad,o,ax,ac,r,g,ah,aw,ao,p,e,ak,a,av,aq,l,ai,ap,au,k,d,ab,n,w,v,af,z,as,y,c,u,m,at,x,ag,t,aa,h,ae,f,al,i,an,j,q,aj,am,ar}
@attribute L {r,z,g,u,ah,ar,n,aq,b,am,an,p,w,ax,ab,ak,l,at,ac,o,au,a,aw,j,aj,f,av,t,al,ap,x,h,d,ad,ao,c,as,af,y,m,i,ai,ae,ag,q,k,s,e,aa,v}
@attribute M {n,as,s,aj,b,ao,ar,t,j,ad,ax,z,ab,h,x,l,aw,g,an,ac,y,u,ag,w,p,ak,aa,ah,e,d,i,q,al,a,k,v,c,ae,am,o,m,av,f,at,aq,ap,r,af,ai,au}
@attribute N {o,y,ap,ac,al,x,ax,am,u,v,an,n,aj,ab,l,g,t,ar,ae,r,as,q,a,aw,z,ag,ad,ao,d,p,ai,aq,ak,af,b,k,f,m,c,aa,i,av,s,e,h,j,ah,w,au,at}
@attribute O {k,s,ab,o,av,i,r,v,g,aj,at,ah,a,c,j,e,u,al,h,f,ac,ar,as,ae,ax,au,aa,ai,y,m,aq,af,l,am,z,x,d,an,ag,ad,w,p,ao,n,q,ak,t,b,aw,ap}
@attribute P {am,ax,r,x,aw,ae,k,v,a,av,ak,s,q,b,aq,h,c,ao,at,ap,z,w,ai,d,an,al,t,aa,af,ac,g,ar,j,e,ah,ag,n,as,l,au,u,f,ab,ad,p,m,o,i,y,aj}
@attribute Q {ap,z,h,af,k,ax,aj,a,as,f,aq,ag,ab,w,v,j,u,ak,y,l,i,ai,e,m,ae,ad,x,o,aw,av,am,at,ao,t,r,ar,q,s,au,ac,ah,aa,p,n,an,g,d,b,c,al}
@attribute R {j,ax,ae,w,c,u,am,a,ar,z,ad,p,ak,an,v,h,i,s,g,o,au,ac,ao,ai,k,ah,aj,b,t,af,av,r,q,ap,l,aq,n,as,m,ab,y,aw,e,x,at,al,ag,d,aa,f}
@attribute S {aj,b,aa,d,aw,at,x,ab,ax,au,ag,ak,aq,ae,n,l,v,f,o,ah,as,e,an,ac,z,ad,h,u,k,w,s,y,j,r,i,ai,m,a,af,al,t,q,g,ar,ao,am,c,ap,av,p}
@attribute T {t,l,j,s,as,ak,aj,ap,r,a,aw,ag,o,ae,z,q,aq,y,f,w,ax,e,x,c,ad,b,at,v,am,ai,aa,av,ab,p,an,k,ah,ar,g,au,i,ac,m,ao,u,h,af,n,al,d}
@attribute U {ae,av,j,q,aq,r,d,al,ax,as,ah,aj,l,ag,aw,v,p,au,ac,ap,y,ak,s,k,af,x,a,e,z,i,ao,n,ad,ar,g,an,ai,ab,w,aa,m,b,u,c,am,t,at,o,f,h}
@attribute V {av,g,v,aa,ah,ac,aw,aq,t,x,aj,ag,al,e,s,ax,ak,w,am,l,ar,ai,h,i,ao,ad,ae,b,at,j,u,q,m,a,au,an,ap,d,k,as,f,af,o,z,r,p,c,ab,y,n}
@attribute W {ak,as,r,af,k,h,ab,n,m,i,q,j,ao,am,z,ae,ax,aw,a,p,f,an,at,y,o,ah,w,e,ac,d,l,x,aq,g,av,ai,ad,s,aj,al,t,ag,b,v,c,aa,au,u,ap,ar}
@attribute X {z,m,ag,d,ar,n,c,aj,l,o,s,ai,p,ao,y,f,t,ax,g,k,e,q,i,ap,ab,au,aq,j,aw,ak,at,h,an,ac,av,ae,v,al,r,b,x,af,am,ad,ah,as,w,aa,u,a}
@attribute Y {au,m,p,ax,ae,av,af,am,ak,g,an,c,aw,al,y,at,z,b,aj,ap,aq,j,ai,as,h,ar,x,d,ao,t,v,e,ah,s,l,o,ac,i,ad,a,r,ab,w,f,n,u,k,ag,aa,q}
@attribute Z {a,aw,c,x,al,n,v,ak,aa,ab,g,aj,ag,ai,r,e,i,q,p,h,b,ah,l,y,ar,w,ac,k,t,at,ax,an,u,as,d,au,aq,f,af,s,z,o,ao,ap,ad,ae,am,av,m,j}
@attribute [ {l,y,ao,aq,r,a,k,ae,j,av,g,ax,w,b,i,ag,ac,ak,q,h,z,c,af,v,ab,ar,o,f,ai,ap,aj,e,p,n,at,ad,t,d,u,au,aa,an,ah,s,m,am,aw,al,x,as}
@attribute '\\' {as,e,af,am,v,ap,x,g,o,a,ar,c,z,ag,al,n,l,b,ax,av,t,aw,at,p,aj,u,ak,w,h,s,ah,d,an,ae,m,q,aa,ad,aq,ai,f,y,ao,k,ac,ab,r,i,j,au}
@attribute ] {as,aj,n,u,h,s,d,ap,ab,v,ao,an,ar,c,r,y,x,au,ae,m,aw,a,am,al,af,z,aq,b,q,o,t,g,ac,aa,k,ad,ak,j,f,i,at,ah,l,ag,p,ax,e,ai,av,w}
@attribute ^ {v,w,y,al,f,ao,z,a,aa,aq,au,p,n,k,ae,l,s,h,aj,b,av,at,an,o,aw,ak,ab,ap,ad,ar,as,m,ag,j,ax,am,t,r,g,i,ai,c,d,x,e,ah,ac,q,af,u}
@attribute Class {c2,c4,c3,c1}

@data
r,ab,al,aw,r,ac,ax,aw,d,t,af,ah,o,u,l,n,as,z,at,t,ae,av,ak,z,v,a,h,q,f,au,c2
d,am,m,a,q,ai,an,m,au,j,i,z,as,o,s,ax,aa,ac,b,ak,w,ag,i,g,m,aw,y,e,am,ac,c4
ao,as,am,p,au,ax,au,k,q,g,t,g,ai,r,k,t,af,as,b,f,q,a,af,d,p,c,ao,af,aw,x,c3
ao,ak,aa,at,ab,ah,ak,n,q,q,o,g,e,h,n,as,af,d,af,r,q,ab,ak,d,p,c,ao,af,n,ap,c3
ao,p,k,af,s,y,au,a,q,as,av,g,aj,au,af,e,af,w,aj,ab,q,au,k,d,p,c,ao,af,b,ai,c3
o,s,ad,c,i,t,an,ah,an,ad,ap,z,as,k,s,ax,ap,r,b,w,a,h,aw,ap,m,aw,y,e,ah,y,c4
ao,r,aq,t,i,av,d,ab,q,n,an,g,d,l,a,ar,af,k,t,al,q,ai,ag,d,p,c,ao,af,aj,ad,c3
ao,b,al,aw,r,a,ax,g,ac,ar,ax,au,aq,o,ab,ab,ar,r,al,t,ae,av,ak,z,af,a,q,b,s,ah,c2
ah,u,al,aw,r,d,ax,ae,y,j,o,o,au,ao,y,p,aj,i,ax,t,ae,av,ak,z,al,a,am,ad,an,aq,c2
p,ag,t,ar,v,h,an,g,t,v,aw,z,as,r,s,ax,au,i,b,i,w,e,b,af,m,aw,y,e,ah,p,c4
ao,an,e,aw,s,s,t,ax,q,ag,n,g,aw,ax,y,v,af,w,av,q,q,ae,i,d,p,c,ao,af,ab,ag,c3
ag,ab,aw,al,ag,ap,q,au,e,ab,ad,aq,aq,al,o,a,aj,m,w,ae,aq,h,aa,ar,n,ae,q,k,k,aa,c1
ao,aq,z,aa,y,k,m,ai,q,an,z,g,i,au,ar,am,af,ax,av,ax,q,p,at,d,p,c,ao,af,ad,k,c3
ar,af,al,aw,r,ap,ax,aq,af,q,x,u,d,aq,v,ac,ai,r,am,t,ae,av,ak,z,b,a,v,o,aa,ah,c2
ac,j,u,av,u,u,an,l,z,aa,o,z,as,as,s,ax,aj,ac,b,i,z,h,g,d,m,aw,y,e,t,ar,c4
ar,e,al,aw,r,u,ax,d,av,u,ah,d,ag,am,ae,k,t,ag,r,t,ae,av,ak,z,ap,a,v,t,v,ak,c2
ao,ab,ac,v,at,s,am,am,q,p,o,g,j,ah,al,b,af,ar,aa,ak,q,e,av,d,p,c,ao,af,ax,ai,c3
m,av,al,aw,r,aa,ax,av,f,ax,v,au,ai,g,aw,v,o,d,ah,t,ae,av,ak,z,ad,a,ab,o,p,j,c2
ao,u,o,am,ah,av,h,ak,q,c,aj,g,ak,aj,al,z,af,k,q,ao,q,s,aj,d,p,c,ao,af,a,as,c3
k,t,al,aw,r,ag,ax,c,q,aj,aw,ad,aq,b,r,an,av,aq,r,t,ae,av,ak,z,av,a,a,as,i,g,c2
c,at,k,au,ax,f,an,m,aq,e,q,z,as,e,s,ax,ai,ab,b,aj,r,ai,r,w,m,aw,y,e,e,ai,c4
i,j,af,ad,l,at,an,w,y,x,ao,z,as,t,s,ax,aa,ae,b,aa,r,ao,b,e,m,aw,y,e,aj,af,c4
ag,ab,e,ax,ag,aw,av,ao,aw,aa,x,aq,v,ae,o,a,aj,aj,ak,q,aq,m,q,ar,k,w,n,l,z,aa,c1
x,ak,al,aw,r,f,ax,at,h,n,ad,i,aj,h,aq,x,af,ad,a,t,ae,av,ak,z,x,a,ap,av,v,q,c2
z,ae,h,ap,n,p,an,ag,ao,am,aq,z,as,g,s,ax,as,aw,b,ai,s,r,s,q,m,aw,y,e,z,y,c4
c,ai,m,z,l,z,an,f,ah,c,w,z,as,d,s,ax,ai,aq,b,ag,u,l,am,p,m,aw,y,e,z,g,c4
i,ac,al,aw,r,ad,ax,an,aq,b,am,as,e,av,at,ae,ae,j,aq,t,ae,av,ak,z,p,a,t,a,aw,w,c2
ag,ab,q,b,ag,p,t,g,j,at,k,aq,ao,aw,o,a,aj,as,s,an,aq,as,y,ar,am,ar,c,ad,k,aa,c1
ag,ab,l,v,ag,z,as,aa,t,j,ai,aq,at,al,o,a,aj,al,ae,b,aq,i,au,ar,an,aq,t,am,m,aa,c1
ao,ac,d,b,v,f,aj,f,q,m,x,g,p,ao,ak,ad,af,t,ar,at,q,d,ai,d,p,c,ao,af,c,aq,c3
ag,ab,ac,m,ag,ar,z,as,x,ap,x,aq,u,z,o,a,aj,ax,g,j,aq,ao,ai,ar,au,e,ac,k,an,aa,c1
aw,aw,al,aw,r,ao,ax,m,af,aj,ad,ag,e,ae,av,af,b,t,j,t,ae,av,ak,z,as,a,at,d,n,o,c2
ao,i,x,h,ae,an,r,t,q,j,e,g,aj,n,p,j,af,h,p,i,q,af,q,d,p,c,ao,af,s,ad,c3
ao,ap,ao,b,u,y,z,c,q,av,l,g,am,aq,au,ac,af,r,af,w,q,y,ap,d,p,c,ao,af,b,ac,c3
c,ab,h,w,ah,p,an,aa,ai,x,j,z,as,j,s,ax,ac,q,b,at,o,ap,au,e,m,aw,y,e,ar,n,c4
ag,ab,af,h,ag,y,c,j,al,af,h,aq,ag,af,o,a,aj,au,ap,q,aq,j,u,ar,l,ae,m,f,p,aa,c1
ag,ab,f,u,ag,b,k,ai,al,ac,s,aq,an,q,o,a,aj,i,h,ac,aq,aq,ag,ar,ac,s,f,ax,q,aa,c1
i,av,al,aw,r,m,ax,m,ai,q,ad,an,o,o,ae,o,ah,a,x,t,ae,av,ak,z,af,a,av,an,p,ap,c2
ao,ab,aw,m,an,p,ai,af,q,c,ae,g,ao,i,f,af,af,x,aq,ah,q,s,p,d,p,c,ao,af,e,aa,c3
ag,ab,aw,ao,ag,ad,x,h,l,ai,k,aq,s,f,o,a,aj,ap,au,au,aq,p,ar,ar,c,x,n,ac,ax,aa,c1
ag,ab,aw,m,ag,ab,an,b,w,o,m,aq,at,aq,o,a,aj,ar,a,aq,aq,x,ag,ar,v,d,at,u,aq,aa,c1
c,ab,as,t,ag,f,an,o,ai,k,a,z,as,ai,s,ax,y,au,b,l,ap,an,j,n,m,aw,y,e,ar,an,c4
ao,e,d,af,h,m,af,aa,q,u,g,g,e,al,u,at,af,au,as,n,q,ad,as,d,p,c,ao,af,q,ap,c3
ag,ab,k,ak,ag,ak,c,aa,d,an,ap,aq,ae,y,o,a,aj,l,aq,aq,aq,ar,m,ar,n,s,w,aa,aq,aa,c1
ag,ab,af,ae,ag,ad,aa,q,am,av,d,aq,ao,a,o,a,aj,al,u,ai,aq,ac,ak,ar,ai,ad,q,a,au,aa,c1
g,ab,u,ah,g,a,an,e,k,ar,j,z,as,b,s,ax,i,ad,b,n,al,o,p,a,m,aw,y,e,at,b,c4
ao,av,n,l,an,y,af,ai,q,s,c,g,aw,ak,ai,ai,af,ao,av,k,q,n,w,d,p,c,ao,af,ab,i,c3
aj,e,ag,j,g,o,an,k,an,ae,p,z,as,al,s,ax,u,o,b,h,aa,al,e,f,m,aw,y,e,ak,m,c4
ag,ab,ai,aa,ag,ad,f,ai,p,ao,v,aq,z,f,o,a,aj,s,at,b,aq,u,ar,ar,s,t,aq,m,a,aa,c1
ao,am,d,f,ad,u,ag,u,q,ad,d,g,d,aw,aq,aw,af,ac,as,ao,q,aj,h,d,p,c,ao,af,s,ad,c3
y,ac,al,aw,r,ap,ax,ag,a,h,u,h,r,d,ac,ar,ab,d,j,t,ae,av,ak,z,u,a,v,u,ac,q,c2
k,an,al,d,aw,k,an,v,ap,an,o,z,as,s,s,ax,l,ar,b,j,aw,ac,aj,ae,m,aw,y,e,am,aw,c4
ag,ab,t,an,ag,v,w,as,o,aj,s,aq,ac,t,o,a,aj,x,b,p,aq,at,u,ar,af,aw,aa,c,ak,aa,c1
ak,m,al,aw,r,y,ax,r,ax,ae,ai,ad,ar,z,as,v,v,s,av,t,ae,av,ak,z,u,a,an,u,u,c,c2
aa,as,al,aw,r,aq,ax,g,o,r,p,u,m,aw,o,d,j,r,am,t,ae,av,ak,z,a,a,ar,ax,ax,ak,c2
k,aj,al,aw,r,h,ax,ac,aq,t,al,ae,l,an,p,m,z,am,ab,t,ae,av,ak,z,w,a,w,ap,ap,u,c2
ag,ab,k,m,ag,ae,h,f,ap,ap,g,aq,u,ab,o,a,aj,q,ab,am,aq,u,as,ar,q,i,al,c,r,aa,c1
ar,af,ax,y,ao,e,an,u,m,v,k,z,as,ar,s,ax,b,z,b,p,al,v,af,a,m,aw,y,e,aj,at,c4
ai,ax,al,aw,r,aw,ax,ad,g,aa,al,al,r,ao,o,ab,k,f,q,t,ae,av,ak,z,i,a,b,al,ac,at,c2
ag,ab,am,ao,ag,ag,b,t,ac,ao,e,aq,w,o,o,a,aj,ae,ak,k,aq,ae,al,ar,ak,ak,ac,y,ag,aa,c1
ao,ax,z,aq,ac,s,s,v,q,j,an,g,ax,k,l,e,af,u,ax,ae,q,w,z,d,p,c,ao,af,t,l,c3
ag,ab,ai,ac,ag,av,ag,ag,av,n,ad,aq,an,b,o,a,aj,as,r,h,aq,as,aa,ar,j,av,ae,ad,ai,aa,c1
ag,ab,ar,aw,ag,ar,c,as,p,ad,p,aq,o,at,o,a,aj,ac,as,ad,aq,ao,ae,ar,ap,af,am,ae,ai,aa,c1
ao,i,p,k,u,ai,ae,ae,q,f,x,g,ao,z,l,c,af,aj,as,w,q,ad,ab,d,p,c,ao,af,g,ad,c3
q,am,k,af,z,ag,an,w,x,ao,ao,z,as,af,s,ax,aw,a,b,ac,aa,at,a,g,m,aw,y,e,ag,f,c4
s,ab,ar,u,w,c,an,ac,aw,x,a,z,as,aq,s,ax,t,d,b,ag,k,s,av,f,m,aw,y,e,g,j,c4
ap,n,al,aw,r,ae,ax,a,ac,aw,as,ad,as,ae,ad,ap,z,al,k,t,ae,av,ak,z,n,a,h,t,aw,v,c2
ao,q,at,m,y,s,ae,g,q,ak,an,g,o,q,p,q,af,ag,ax,au,q,ab,s,d,p,c,ao,af,q,ar,c3
a,a,al,aw,r,af,ax,i,aa,ao,au,ae,d,a,k,d,ax,d,n,t,ae,av,ak,z,k,a,ag,ak,g,ah,c2
a,at,al,aw,r,ap,ax,a,s,h,e,av,q,ac,am,at,r,av,p,t,ae,av,ak,z,q,a,o,a,ap,i,c2
ag,n,ar,ac,ac,ar,an,an,af,e,a,z,as,aj,s,ax,af,ab,b,i,au,as,aq,at,m,aw,y,e,ap,af,c4
ao,ak,j,q,j,g,b,aw,q,v,g,g,a,k,v,x,af,af,ab,at,q,ai,ak,d,p,c,ao,af,m,ai,c3
ag,ab,ar,al,ag,ao,ar,ag,aq,aa,z,aq,e,r,o,a,aj,c,av,z,aq,j,x,ar,ac,ax,b,aq,ai,aa,c1
ao,c,o,o,an,ao,a,l,q,ae,ag,g,aq,f,ac,ao,af,i,af,e,q,q,aa,d,p,c,ao,af,ac,ar,c3
as,e,f,s,af,h,an,aa,ai,n,m,z,as,al,s,ax,z,aa,b,y,e,af,af,p,m,aw,y,e,h,m,c4
ao,au,al,ao,t,p,y,m,q,ad,n,g,am,i,h,ah,af,ap,ag,am,q,r,d,d,p,c,ao,af,aw,ae,c3
d,b,n,b,h,s,an,p,ab,ag,w,z,as,q,s,ax,am,aw,b,ax,f,au,af,h,m,aw,y,e,b,i,c4
x,m,al,aw,r,am,ax,r,av,w,e,a,as,w,aq,aw,ag,o,aw,t,ae,av,ak,z,ap,a,aa,ap,ax,ad,c2
ag,ab,af,aq,ag,p,i,f,au,m,t,aq,au,aa,o,a,aj,ac,an,z,aq,as,a,ar,an,ax,ar,b,c,aa,c1
ag,ab,s,aq,ag,at,h,u,ad,af,h,aq,al,r,o,a,aj,t,c,ao,aq,v,u,ar,ai,af,o,ah,ab,aa,c1
ao,h,j,an,am,ag,o,ak,q,aj,z,g,af,q,aw,ax,af,at,l,aj,q,b,ac,d,p,c,ao,af,i,aa,c3
ao,an,w,f,af,i,c,d,q,c,q,g,j,q,aj,ai,af,o,ax,as,q,v,ao,d,p,c,ao,af,ak,n,c3
at,e,c,x,t,ai,an,am,m,am,ag,z,as,al,s,ax,ag,aa,b,z,i,q,ak,o,m,aw,y,e,ak,as,c4
ag,ab,ah,ag,ag,k,at,y,s,al,ae,aq,o,s,o,a,aj,u,h,z,aq,ag,w,ar,ab,t,d,h,o,aa,c1
ao,r,aq,aq,v,aj,aa,m,q,y,aj,g,af,aj,k,at,af,h,aq,d,q,x,al,d,p,c,ao,af,j,aw,c3
ae,ai,al,aw,r,al,ax,ah,a,j,am,am,s,aw,q,am,ad,e,u,t,ae,av,ak,z,ax,a,j,x,j,p,c2
ak,al,al,aw,r,e,ax,g,aj,as,ar,aw,ab,aq,am,d,g,a,m,t,ae,av,ak,z,r,a,h,g,r,c,c2
ao,ap,z,au,u,e,aw,al,q,c,ac,g,w,t,ax,l,af,g,at,af,q,al,ad,d,p,c,ao,af,h,n,c3
ao,ah,a,am,f,l,r,am,q,aa,h,g,f,as,ag,w,af,z,p,al,q,al,am,d,p,c,ao,af,ar,al,c3
ag,ab,ag,af,ag,j,l,ad,aj,ar,ac,aq,aa,d,o,a,aj,q,d,x,aq,q,am,ar,aa,j,s,d,l,aa,c1
af,aw,al,aw,r,ai,ax,u,k,f,ah,x,k,ap,al,r,aw,av,d,t,ae,av,ak,z,g,a,al,ak,ab,c,c2
ag,ab,z,ax,ag,i,f,ae,m,al,ac,aq,aw,d,o,a,aj,n,ai,n,aq,an,at,ar,aj,k,f,ap,o,aa,c1
aw,au,al,aw,r,g,ax,r,w,av,ag,af,ar,g,s,v,ac,at,av,t,ae,av,ak,z,at,a,x,v,ah,aw,c2
am,av,al,aw,r,b,ax,d,g,as,aj,a,ap,aj,m,ab,ai,ad,q,t,ae,av,ak,z,r,a,u,at,am,aq,c2
am,ah,al,aw,r,aw,ax,ax,ab,e,l,l,al,at,as,ap,y,r,aj,t,ae,av,ak,z,z,a,m,an,ai,av,c2
ao,o,x,o,f,av,q,k,q,a,v,g,o,i,aa,t,af,ao,j,v,q,z,s,d,p,c,ao,af,am,y,c3
ao,ao,am,k,j,ae,b,r,q,w,aq,g,au,ab,ak,t,af,ac,j,av,q,ao,r,d,p,c,ao,af,at,af,c3
ao,ac,aq,v,i,av,ad,b,q,ao,aq,g,i,y,h,ad,af,av,af,p,q,at,h,d,p,c,ao,af,z,y,c3
ag,ab,l,r,ag,ae,p,at,o,s,d,aq,at,h,o,a,aj,aq,b,i,aq,g,aq,ar,ag,af,a,aq,as,aa,c1
ao,at,j,i,c,b,an,ak,b,ac,aa,z,as,l,s,ax,aa,d,b,h,ax,au,z,ac,m,aw,y,e,as,z,c4
d,aa,ad,g,w,g,an,l,o,b,as,z,as,j,s,ax,c,w,b,af,ab,ab,b,ak,m,aw,y,e,ae,u,c4
ap,r,p,o,ad,av,an,q,u,l,i,z,as,ah,s,ax,ah,ar,b,al,e,ae,am,al,m,aw,y,e,as,m,c4
v,as,al,aw,r,f,ax,q,ai,ah,g,ah,aw,av,ao,an,am,ag,ak,t,ae,av,ak,z,c,a,s,aa,h,af,c2
h,av,ad,aq,al,ah,an,ax,z,r,l,z,as,d,s,ax,p,z,b,ak,an,u,v,ad,m,aw,y,e,r,aw,c4
p,aq,as,p,am,an,an,aj,h,an,ad,z,as,q,s,ax,av,ar,b,k,ai,y,aq,ap,m,aw,y,e,t,w,c4
ar,w,ag,aq,aa,b,an,l,i,as,ab,z,as,ax,s,ax,a,ah,b,aq,as,s,al,b,m,aw,y,e,m,ar,c4
as,as,al,aw,r,p,ax,ac,j,b,a,r,am,e,f,k,an,ac,f,t,ae,av,ak,z,p,a,v,a,f,ae,c2
ao,an,l,aq,ae,am,c,c,q,j,a,g,ak,k,ap,ax,af,s,ag,ad,q,an,k,d,p,c,ao,af,al,at,c3
ao,h,h,aw,ar,al,ah,r,q,ad,as,g,aq,af,i,at,af,ag,p,ai,q,as,u,d,p,c,ao,af,h,c,c3
x,ai,al,aw,r,an,ax,p,aj,ah,e,m,k,z,aw,c,ad,ae,u,t,ae,av,ak,z,b,a,ap,b,u,j,c2
z,v,al,aw,r,aj,ax,av,e,t,d,b,an,ad,an,aj,an,an,an,t,ae,av,ak,z,aa,a,w,w,l,d,c2
ao,o,ag,i,ao,d,l,d,q,k,l,g,am,o,j,aq,af,ao,al,ab,q,av,l,d,p,c,ao,af,n,k,c3
ah,au,al,aw,r,d,ax,av,x,b,v,af,a,ad,x,e,ax,d,o,t,ae,av,ak,z,ap,a,g,q,n,ap,c2
p,ai,al,aw,r,g,ax,v,au,av,c,s,as,r,ax,ao,as,v,r,t,ae,av,ak,z,t,a,ab,g,u,ab,c2
s,af,b,ar,ad,af,an,at,o,at,ab,z,as,al,s,ax,aw,aj,b,ab,al,ae,as,ab,m,aw,y,e,s,z,c4
ao,k,al,q,ax,av,c,am,q,au,b,g,x,ae,as,ad,af,s,v,n,q,ad,aq,d,p,c,ao,af,s,k,c3
aa,aa,e,d,t,ah,an,ai,p,ai,ax,z,as,r,s,ax,b,x,b,ax,e,v,ai,d,m,aw,y,e,ai,y,c4
ag,ab,v,ae,ag,i,o,u,n,ax,s,aq,s,ai,o,a,aj,b,s,b,aq,q,f,ar,ai,i,a,am,c,aa,c1
ag,ab,ai,an,ag,j,o,u,aa,au,af,aq,ap,au,o,a,aj,l,u,an,aq,g,ap,ar,ae,ao,c,x,g,aa,c1
ao,k,ap,o,k,av,n,an,q,q,al,g,z,av,c,t,af,s,au,ai,q,ao,g,d,p,c,ao,af,av,ad,c3
ap,ab,au,ao,a,i,an,o,g,av,v,z,as,h,s,ax,w,c,b,as,ae,s,aw,al,m,aw,y,e,ai,f,c4
ao,aj,l,v,ab,i,as,ah,q,e,r,g,at,p,aq,ab,af,ai,y,f,q,au,x,d,p,c,ao,af,r,am,c3
ag,ab,ar,e,ag,d,a,t,af,am,h,aq,b,v,o,a,aj,g,aa,ak,aq,ax,as,ar,m,k,n,j,aa,aa,c1
ag,ab,g,ad,ag,x,f,ao,ap,h,a,aq,c,l,o,a,aj,ah,ah,c,aq,r,g,ar,g,u,n,i,ag,aa,c1
ag,ab,o,af,ag,au,z,ai,ax,ag,ad,aq,a,o,o,a,aj,ax,av,ao,aq,p,u,ar,k,q,q,f,p,aa,c1
ao,j,ac,a,af,v,af,al,q,aa,ak,g,i,h,aw,y,af,an,t,ax,q,am,u,d,p,c,ao,af,aw,u,c3
ai,ae,al,aw,r,am,ax,j,ag,j,ah,n,ad,o,h,p,w,m,al,t,ae,av,ak,z,j,a,ap,ag,ab,z,c2
q,av,r,q,a,aq,an,an,b,am,z,z,as,aw,s,ax,t,ao,b,ak,an,g,an,t,m,aw,y,e,s,c,c4
ao,d,w,x,ao,c,ae,u,q,av,l,g,d,l,n,ah,af,aq,v,f,q,ag,aw,d,p,c,ao,af,au,t,c3
y,af,al,aw,r,as,ax,at,k,ad,al,e,ac,b,ah,o,aw,c,b,t,ae,av,ak,z,aw,a,a,af,u,w,c2
at,an,ae,w,ar,aw,an,y,aa,ac,j,z,as,t,s,ax,w,a,b,e,ai,m,c,j,m,aw,y,e,al,y,c4
ao,m,p,c,p,o,j,j,q,af,n,g,s,i,as,f,af,ax,i,f,q,n,av,d,p,c,ao,af,ap,x,c3
ac,y,am,af,ag,ac,an,ai,aa,aj,aa,z,as,ao,s,ax,ag,aq,b,ad,s,ak,m,v,m,aw,y,e,h,u,c4
ao,aj,x,ax,av,ac,p,f,q,ag,o,g,af,ab,s,aq,af,w,n,f,q,s,g,d,p,c,ao,af,q,a,c3
r,an,r,al,m,au,an,av,v,aa,au,z,as,ad,s,ax,au,ax,b,ai,r,am,aa,v,m,aw,y,e,j,ae,c4
ao,av,au,d,h,ag,i,n,q,c,ax,g,au,m,e,ab,af,d,an,r,q,p,s,d,p,c,ao,af,b,f,c3
d,p,j,at,q,aj,an,w,ae,ab,b,z,as,ak,s,ax,ae,as,b,l,g,g,at,as,m,aw,y,e,y,j,c4
a,ap,al,aw,r,n,ax,aj,ae,ai,k,ac,au,al,am,o,af,k,r,t,ae,av,ak,z,ai,a,aj,ae,ad,i,c2
aq,s,ae,g,an,aj,an,ag,ar,av,h,z,as,y,s,ax,aj,ao,b,an,t,f,o,ao,m,aw,y,e,o,al,c4
q,g,al,aw,r,y,ax,ab,ap,af,p,am,av,af,p,t,c,aj,al,t,ae,av,ak,z,ax,a,ao,e,ag,v,c2
