@relation 50_10_5_10_5_1000

@attribute A1 {c,a,e,d,i,j,h,b,f,g}
@attribute A2 {h,c,d,g,j,i,e,a,f,b}
@attribute A3 {c,h,e,a,b,g,d,f,j,i}
@attribute A4 {e,c,d,g,f,b,h,a,j,i}
@attribute A5 {d,j,h,i,f,g,b,e,c,a}
@attribute A6 {d,h,b,g,c,j,f,e,a,i}
@attribute A7 {i,e,d,j,g,f,h,c,a,b}
@attribute A8 {g,e,c,h,d,j,i,f,a,b}
@attribute A9 {e,h,a,g,i,b,j,d,f,c}
@attribute A10 {i,j,b,f,d,a,c,h,g,e}
@attribute A11 {c,b,g,h,j,d,i,a,e,f}
@attribute A12 {a,g,c,f,j,e,h,d,b,i}
@attribute A13 {f,a,d,b,g,j,c,e,i,h}
@attribute A14 {d,f,j,b,c,g,i,a,h,e}
@attribute A15 {d,b,e,h,g,a,i,j,c,f}
@attribute A16 {h,d,i,j,a,g,c,f,b,e}
@attribute A17 {f,b,h,c,a,e,g,j,d,i}
@attribute A18 {h,f,c,i,e,g,j,a,b,d}
@attribute A19 {c,e,b,i,j,d,a,g,h,f}
@attribute A20 {j,h,b,d,c,f,g,e,a,i}
@attribute A21 {g,f,a,e,c,h,d,b,i,j}
@attribute A22 {e,h,g,a,j,b,i,c,f,d}
@attribute A23 {e,h,d,g,a,i,b,f,j,c}
@attribute A24 {i,g,c,h,d,j,a,f,b,e}
@attribute A25 {e,f,j,a,b,i,h,g,d,c}
@attribute A26 {g,b,c,a,d,j,i,h,f,e}
@attribute A27 {g,c,f,i,a,b,h,e,j,d}
@attribute A28 {i,c,e,j,b,d,f,h,g,a}
@attribute A29 {f,b,h,i,a,g,e,c,j,d}
@attribute A30 {a,g,d,b,i,j,h,f,e,c}
@attribute A31 {g,a,e,b,i,h,d,j,c,f}
@attribute A32 {c,d,i,h,f,j,g,e,b,a}
@attribute A33 {d,e,c,j,b,h,i,g,a,f}
@attribute A34 {d,b,e,h,i,a,c,j,f,g}
@attribute A35 {h,d,a,i,b,j,e,c,f,g}
@attribute A36 {e,i,b,h,a,d,g,f,j,c}
@attribute A37 {e,a,c,h,j,f,d,b,g,i}
@attribute A38 {j,b,a,d,h,g,e,c,f,i}
@attribute A39 {a,j,i,b,c,h,g,e,d,f}
@attribute A40 {e,c,g,d,i,h,a,f,b,j}
@attribute A41 {b,f,e,i,d,h,c,j,g,a}
@attribute A42 {a,h,i,f,d,e,j,c,b,g}
@attribute A43 {d,i,f,h,j,c,a,g,e,b}
@attribute A44 {c,h,f,i,d,g,j,a,e,b}
@attribute A45 {c,f,g,e,b,j,d,i,h,a}
@attribute A46 {a,f,d,i,g,e,c,j,b,h}
@attribute A47 {c,i,g,b,a,h,d,j,f,e}
@attribute A48 {c,g,d,i,j,h,b,a,e,f}
@attribute A49 {c,j,i,g,h,e,a,d,f,b}
@attribute A50 {f,j,h,a,e,d,c,b,g,i}
@attribute Class {c4,c1,c3,c2,c5}

@data
e,i,g,b,h,d,h,c,j,j,a,g,f,d,b,j,h,f,d,d,g,j,b,b,b,h,i,c,b,c,j,c,j,d,g,e,i,j,b,b,b,a,d,h,e,e,g,c,c,i,c4
d,g,d,c,f,f,h,b,c,h,g,g,h,h,j,j,g,a,h,i,f,e,b,i,b,c,j,a,b,d,d,h,j,i,b,j,h,a,b,c,a,c,b,b,b,i,i,g,h,h,c3
h,g,h,a,h,e,j,c,a,e,g,f,a,g,e,i,g,d,e,b,j,i,d,c,j,f,b,e,i,f,j,a,g,f,c,e,j,h,e,e,j,i,b,b,f,h,c,d,j,e,c1
b,c,g,i,h,g,g,c,a,a,g,f,a,j,e,i,c,j,j,b,a,j,g,c,f,i,j,e,g,b,a,j,g,g,i,e,i,j,c,h,g,g,g,j,h,j,f,b,i,d,c1
b,f,g,c,f,i,j,h,h,i,f,f,e,b,d,j,d,f,a,c,f,h,f,b,b,j,e,e,b,d,f,h,g,i,i,d,f,a,b,c,d,d,g,h,h,i,g,g,g,h,c3
g,i,g,c,f,f,i,f,c,c,h,h,i,h,g,j,f,j,j,i,f,e,f,e,i,f,e,i,a,d,g,h,f,i,h,g,i,a,b,c,d,f,g,b,f,j,h,g,f,g,c3
f,b,i,b,j,e,g,i,h,j,b,a,g,h,j,g,e,d,i,f,g,f,c,j,g,e,j,j,f,d,a,h,i,d,f,c,c,e,e,i,j,f,f,j,c,c,g,i,d,j,c5
c,h,a,d,d,d,a,h,e,g,g,c,f,d,a,e,c,e,j,i,g,e,i,e,a,f,i,c,c,c,i,a,c,e,a,e,h,j,g,e,b,a,d,d,i,d,f,c,c,j,c4
b,h,e,c,f,g,c,f,d,i,c,e,h,a,b,j,a,i,e,a,f,g,g,a,g,b,a,j,c,d,e,h,j,i,f,h,b,a,b,c,e,g,d,g,f,c,d,g,d,g,c3
i,e,d,c,d,i,j,b,h,i,j,f,b,d,g,i,e,e,d,c,e,g,d,i,f,i,f,j,f,b,g,f,b,b,b,j,f,j,c,h,j,c,f,a,f,g,i,g,i,j,c2
b,j,c,c,g,d,d,h,e,g,d,d,f,d,h,c,g,d,d,j,g,e,e,f,d,d,h,g,g,b,h,g,b,h,c,e,g,j,e,c,b,a,d,i,i,c,h,c,c,e,c4
i,e,h,h,g,b,a,h,g,i,f,f,b,i,b,e,d,j,j,i,g,g,a,a,f,i,f,c,h,j,e,f,b,b,g,b,g,j,c,e,j,i,d,h,a,j,d,a,i,d,c2
f,i,j,c,f,b,a,g,j,h,c,h,h,d,e,j,f,h,e,i,f,e,c,h,j,a,f,j,h,d,a,h,g,i,d,e,c,a,b,c,e,b,j,i,i,f,g,g,b,j,c3
g,a,e,e,c,d,b,c,i,h,f,c,f,d,f,d,a,f,b,h,g,g,g,h,h,b,a,e,d,d,i,i,f,c,j,e,f,j,g,e,b,a,d,f,f,e,i,c,c,b,c4
f,i,e,e,f,d,b,i,e,e,a,a,g,e,j,d,e,a,b,a,j,j,f,i,a,f,j,a,f,j,c,f,d,d,g,a,h,e,e,g,b,d,g,j,a,i,h,i,j,j,c5
i,g,g,b,a,b,f,c,f,i,b,f,b,j,c,j,f,b,g,h,f,g,c,i,f,h,f,a,j,i,c,f,b,g,b,b,c,d,c,a,e,i,f,h,j,i,a,b,i,e,c2
h,g,b,i,h,d,g,e,i,f,g,g,f,d,f,j,e,a,a,e,g,e,h,a,a,a,b,b,g,d,i,j,f,i,j,e,h,j,b,f,b,a,d,g,h,f,c,c,c,e,c4
g,i,d,j,h,i,c,c,a,d,g,b,a,e,e,i,f,b,j,b,j,d,j,c,g,j,j,e,i,d,g,a,h,i,a,e,g,h,c,c,b,c,d,j,g,j,j,e,e,b,c1
c,j,i,e,h,i,c,c,a,b,g,i,a,b,e,i,f,g,g,b,e,a,e,c,j,d,f,e,h,a,b,i,g,d,d,e,e,d,d,d,j,b,i,g,e,b,b,c,g,g,c1
f,d,h,g,f,b,a,i,a,b,g,a,g,a,b,b,e,e,c,h,d,f,h,c,c,c,j,f,f,e,f,e,c,d,g,b,h,e,e,j,c,i,g,d,b,a,a,i,d,b,c5
f,c,b,a,j,g,a,i,h,d,h,a,g,i,i,e,e,d,d,f,g,e,g,h,f,h,j,f,f,j,f,b,e,d,d,i,d,e,e,h,c,e,d,c,e,h,g,i,i,g,c5
i,c,e,j,d,e,f,f,i,i,h,f,b,f,d,b,j,g,g,j,i,g,g,c,f,j,f,g,j,f,g,f,b,a,a,h,e,g,c,c,h,b,a,h,c,b,d,f,i,e,c2
i,e,f,c,c,d,g,d,e,a,i,g,f,d,f,d,e,g,d,a,g,g,h,a,d,d,b,e,f,i,a,d,h,a,h,e,e,j,i,c,b,a,d,b,c,j,b,c,c,i,c4
c,i,b,c,f,e,d,i,c,d,d,j,f,g,c,j,j,e,g,h,f,h,c,g,i,f,c,b,f,d,g,h,a,i,b,d,c,a,b,c,f,i,a,f,f,j,g,g,h,f,c3
c,e,e,c,f,a,e,i,e,c,b,c,c,a,h,j,d,h,j,c,f,a,g,h,f,h,e,d,h,d,d,h,j,i,d,d,j,a,b,c,h,g,a,d,d,c,g,g,a,e,c3
i,f,d,a,e,d,e,g,c,i,e,f,b,j,a,d,b,e,b,j,j,g,j,f,f,h,f,a,c,b,i,f,b,i,d,a,b,c,c,d,h,a,f,f,g,h,j,d,i,d,c2
e,f,h,i,f,d,d,e,i,h,i,g,f,d,i,e,a,f,j,e,g,h,d,a,a,h,c,a,d,b,b,i,i,c,d,e,i,j,d,h,b,a,d,i,c,h,d,c,c,g,c4
h,c,b,f,c,d,f,f,e,a,f,b,f,d,j,d,g,a,i,j,g,b,j,i,j,h,f,j,j,h,g,h,e,c,f,e,c,j,i,a,b,a,d,c,i,a,f,c,c,b,c4
j,j,b,c,f,d,e,j,i,e,f,g,b,c,c,j,d,i,h,d,f,b,h,h,c,c,c,f,e,d,a,h,h,i,j,j,f,a,b,c,g,c,h,i,f,b,h,g,i,d,c3
g,j,a,g,h,g,d,c,a,a,g,j,a,i,e,i,e,f,b,b,a,h,f,c,h,j,c,e,c,d,f,i,e,c,d,e,a,b,e,j,h,c,i,c,e,c,g,a,i,f,c1
f,e,j,j,g,i,h,i,h,e,d,a,g,g,b,b,e,a,a,f,a,d,c,j,c,g,j,d,f,d,d,f,a,d,h,i,j,e,e,g,f,e,h,c,e,d,j,i,i,g,c5
i,j,h,c,f,j,b,e,h,j,a,i,h,g,j,j,j,b,j,j,f,i,j,j,g,c,a,j,c,d,c,h,h,i,e,a,i,a,b,c,d,j,j,d,b,e,f,g,g,e,c3
a,f,h,c,h,a,e,c,a,a,g,f,a,b,e,i,b,j,j,b,f,b,h,c,g,h,d,e,g,b,i,b,b,h,f,e,c,a,h,e,h,i,b,h,h,i,b,g,d,f,c1
c,f,f,j,b,d,h,j,i,b,g,b,f,d,g,b,g,e,i,e,g,i,h,b,i,g,e,h,i,h,c,e,g,h,d,e,i,j,i,a,b,a,d,b,b,j,c,c,c,a,c4
e,h,h,c,f,b,b,i,h,f,a,f,d,i,d,j,b,g,h,b,f,j,h,c,d,f,i,g,d,d,i,h,f,i,c,e,e,a,b,c,a,c,e,b,d,b,f,g,b,d,c3
h,f,h,g,h,c,c,c,a,i,g,c,a,d,e,i,b,g,h,b,b,i,f,c,d,i,g,e,c,j,c,g,c,b,b,e,i,i,b,b,j,j,i,c,c,d,f,j,f,c,c1
i,h,d,j,h,g,j,e,e,i,j,f,b,b,h,c,d,b,g,h,j,g,d,e,f,e,f,f,i,g,i,f,b,e,g,c,i,h,c,h,f,a,e,a,g,b,h,i,i,b,c2
i,c,g,c,f,i,d,f,c,i,c,i,g,h,g,j,e,j,a,c,f,i,d,c,i,e,e,d,h,d,a,h,g,i,f,h,a,a,b,c,h,j,f,e,c,i,c,g,a,g,c3
i,g,j,h,f,d,d,g,d,i,b,f,b,j,a,h,e,g,h,i,j,g,e,a,f,d,f,g,a,f,b,f,b,i,d,c,g,i,c,h,g,d,b,i,g,d,h,a,i,c,c2
e,a,g,c,f,i,b,c,g,a,f,f,c,i,h,j,j,e,a,e,f,h,e,j,d,d,e,g,h,d,c,h,h,i,i,i,b,a,b,c,h,b,a,j,j,f,i,g,d,d,c3
g,f,f,c,f,f,a,h,d,j,h,h,c,a,g,j,b,f,b,j,f,g,f,h,f,b,c,g,e,d,e,h,i,i,i,b,h,a,b,c,c,c,g,c,h,a,e,g,e,g,c3
c,i,b,a,h,d,c,c,a,c,g,i,a,f,e,i,g,d,j,b,a,c,h,c,h,e,b,e,e,e,c,c,b,i,j,e,g,i,d,h,d,j,j,a,g,d,c,j,h,h,c1
f,a,i,j,g,g,c,i,i,f,c,a,g,b,i,h,e,b,b,f,f,c,i,j,e,d,j,a,f,e,f,j,b,d,h,d,e,e,e,i,h,c,b,f,h,c,f,i,d,b,c5
f,g,c,e,d,g,e,i,i,i,a,a,g,d,d,c,e,d,g,g,h,d,d,c,e,j,j,e,f,f,d,c,j,d,b,j,e,e,e,e,j,j,b,h,g,i,f,i,f,j,c5
f,f,j,e,j,e,f,i,j,e,j,a,g,i,e,f,e,e,b,c,d,j,b,g,b,g,j,e,f,f,i,f,h,d,b,e,j,e,e,f,f,a,f,f,a,g,f,i,e,d,c5
i,a,d,e,h,g,d,c,a,d,g,a,a,j,e,i,e,f,f,b,d,a,d,c,j,b,j,e,g,h,f,c,h,i,a,e,e,b,i,b,c,f,c,f,f,h,c,e,i,e,c1
f,d,e,g,i,g,f,i,i,i,b,a,g,b,f,g,e,g,e,g,c,d,g,h,h,j,j,e,f,b,f,b,e,d,f,h,b,e,e,h,f,i,c,f,b,b,j,i,c,a,c5
f,i,f,g,h,d,d,i,c,h,i,a,g,j,d,j,e,a,e,h,c,d,d,b,f,g,j,a,f,j,e,j,b,d,j,c,j,e,e,e,f,j,i,b,j,b,b,i,j,i,c5
c,f,c,e,h,d,g,c,a,g,g,a,a,c,e,i,f,h,b,b,e,a,e,c,c,f,a,e,b,h,c,c,g,d,e,e,g,i,j,d,e,i,c,i,h,h,c,g,g,i,c1
g,j,d,c,f,a,a,h,f,e,d,a,e,e,c,j,c,g,g,e,f,h,b,a,i,d,h,b,i,d,i,h,g,i,h,d,g,a,b,c,f,f,c,e,j,e,g,g,e,a,c3
j,e,g,d,h,e,g,c,a,e,g,d,a,e,e,i,f,h,d,b,i,b,d,c,e,e,h,e,b,h,d,i,c,i,g,e,c,b,b,a,j,c,i,f,e,i,g,j,j,b,c1
j,i,f,c,f,j,c,a,b,e,c,d,b,i,i,j,b,d,j,f,f,b,c,j,i,d,i,d,e,d,j,h,c,i,g,a,d,a,b,c,e,a,i,h,d,i,j,g,j,d,c3
f,c,c,c,f,b,i,i,d,d,h,c,c,b,b,j,b,a,a,a,f,b,h,c,d,c,d,b,i,d,b,h,h,i,b,d,i,a,b,c,b,g,a,j,h,h,b,g,f,f,c3
b,j,d,e,h,f,d,c,a,e,g,j,a,h,e,i,b,g,b,b,a,d,d,c,f,a,c,e,b,c,b,e,e,h,g,e,c,d,i,a,j,a,e,h,h,i,j,f,i,d,c1
b,i,f,c,i,d,i,a,e,a,b,c,f,d,j,h,f,h,b,i,g,b,j,c,g,c,e,g,e,e,g,i,c,j,e,e,d,j,i,g,b,a,d,c,a,f,d,c,c,b,c4
i,i,b,c,f,e,f,e,d,f,c,b,i,b,h,j,a,j,i,i,f,f,h,i,e,a,j,j,b,d,f,h,i,i,e,c,b,a,b,c,g,a,h,a,g,i,d,g,a,f,c3
h,j,h,j,h,e,d,c,a,c,g,b,a,i,e,i,h,h,c,b,a,d,e,c,a,f,g,e,i,e,h,j,e,c,h,e,d,i,c,g,b,g,c,i,g,d,e,i,e,g,c1
f,e,b,f,g,g,h,i,f,d,d,a,g,c,h,c,e,g,h,f,i,g,h,a,i,d,j,b,f,a,c,c,j,d,i,h,j,e,e,f,e,f,e,h,f,f,b,i,b,i,c5
i,h,f,c,h,c,i,g,g,i,a,f,b,b,g,h,i,c,j,c,h,g,f,a,f,f,f,e,h,j,f,f,b,b,c,c,c,i,c,d,c,d,d,b,g,e,b,a,i,e,c2
i,h,j,g,c,f,i,h,d,i,c,f,b,h,b,a,a,e,h,i,g,g,i,b,f,j,f,i,j,b,e,f,b,a,a,h,e,g,c,a,j,a,f,b,j,a,a,h,i,f,c2
f,j,c,b,c,j,f,i,a,a,c,a,g,g,e,f,e,i,i,a,f,g,b,f,d,h,j,g,f,j,a,j,a,d,b,a,f,e,e,a,i,a,e,d,a,a,b,i,i,j,c5
f,g,d,e,h,j,f,i,i,b,j,a,g,j,e,b,e,b,f,b,f,e,a,e,i,g,j,b,f,e,g,g,b,d,g,d,d,e,e,j,j,j,d,d,b,e,f,i,j,d,c5
e,e,h,c,f,d,e,j,b,e,h,h,f,a,c,j,g,j,c,h,f,j,i,f,d,c,c,g,i,d,j,h,f,i,c,d,d,a,b,c,g,f,i,b,g,d,f,g,a,h,c3
c,f,c,a,a,d,a,c,j,e,b,b,f,d,g,i,a,i,d,h,g,a,i,j,d,b,e,c,h,f,h,d,j,b,i,e,d,j,a,h,b,a,d,a,g,j,e,c,c,b,c4
g,d,j,c,f,i,f,f,b,i,g,h,f,i,f,j,b,j,e,h,f,b,b,c,i,f,i,d,a,d,h,h,j,i,h,b,h,a,b,c,f,a,a,a,b,f,b,g,j,d,c3
f,e,e,b,f,g,i,i,a,d,h,a,g,c,c,c,e,c,g,d,d,g,j,e,b,h,j,a,f,b,f,h,a,d,j,i,j,e,e,a,c,e,d,b,e,a,j,i,j,e,c5
j,g,c,c,f,i,d,g,j,i,c,g,i,j,h,j,a,j,i,f,f,a,b,g,e,f,a,d,d,d,h,h,j,i,c,b,f,a,b,c,c,j,a,h,i,i,a,g,c,e,c3
i,c,i,c,f,f,h,j,j,d,h,h,h,j,h,j,d,e,d,a,f,b,h,c,h,j,h,d,a,d,f,h,a,i,f,d,b,a,b,c,i,j,j,f,e,f,d,g,g,a,c3
i,j,c,d,d,j,e,f,e,i,i,f,b,c,g,h,e,b,j,a,j,g,g,a,f,g,f,d,g,b,f,f,b,b,a,a,i,a,c,i,j,j,e,c,e,f,j,a,i,i,c2
f,f,e,i,a,g,f,i,e,i,d,a,g,e,h,i,e,e,h,h,c,j,h,f,c,j,j,a,f,h,d,a,e,d,g,b,f,e,e,i,i,a,a,h,e,h,a,i,d,f,c5
a,j,i,i,b,d,g,a,a,g,i,g,f,d,i,d,a,b,f,c,g,a,j,j,g,e,g,g,g,c,h,a,e,b,h,e,b,j,b,d,b,a,d,e,e,c,c,c,c,e,c4
f,i,g,i,h,g,h,i,e,j,h,a,g,e,h,a,e,b,i,g,g,c,d,f,a,a,j,a,f,e,d,h,h,d,g,j,a,e,e,a,c,c,i,i,c,j,f,i,f,e,c5
a,b,c,g,h,h,b,c,a,g,g,f,a,a,e,i,c,e,a,b,e,c,g,c,g,a,d,e,f,h,i,h,d,d,i,e,i,j,j,f,c,f,c,e,h,d,j,a,j,i,c1
e,a,e,e,h,g,e,c,a,d,g,g,a,d,e,i,c,e,j,b,d,b,d,c,b,i,i,e,d,b,i,h,f,d,a,e,g,f,f,c,a,g,b,d,a,f,e,d,a,d,c1
g,j,a,g,h,d,j,g,i,f,a,a,f,d,e,g,b,g,f,g,g,c,d,j,c,h,j,j,i,j,b,c,h,b,d,e,d,j,h,j,b,a,d,c,f,b,h,c,c,j,c4
d,e,a,c,f,h,a,a,b,g,e,j,j,f,h,j,j,i,c,b,f,f,f,i,i,g,a,c,c,d,b,h,h,i,d,i,g,a,b,c,i,g,j,j,b,b,a,g,i,d,c3
f,g,a,d,i,a,e,i,a,d,b,a,g,h,f,j,e,d,g,b,h,j,d,f,i,j,j,c,f,f,i,c,j,d,a,e,e,e,e,h,b,c,b,e,b,e,g,i,d,j,c5
c,j,h,c,f,i,h,g,i,e,i,b,i,h,e,j,i,a,h,j,f,j,f,f,e,f,j,j,h,d,f,h,a,i,j,h,f,a,b,c,f,g,f,c,b,h,b,g,e,h,c3
e,g,d,f,h,i,g,c,a,e,g,e,a,b,e,i,b,b,f,b,f,e,h,c,d,i,a,e,f,g,j,f,c,a,a,e,e,b,e,j,i,a,c,e,e,j,c,e,i,c,c1
a,j,c,g,i,d,c,e,c,c,f,e,f,d,d,h,g,g,e,e,g,h,d,c,a,h,j,c,b,h,e,g,a,c,d,e,e,j,e,c,b,a,d,f,j,b,h,c,c,f,c4
f,e,f,h,d,h,d,i,j,d,c,a,g,d,e,f,e,h,e,f,b,a,j,h,g,f,j,a,f,h,h,g,a,d,e,h,i,e,e,a,h,j,h,a,d,a,i,i,c,j,c5
g,i,b,c,f,i,b,i,j,h,c,h,g,a,h,j,j,e,e,d,f,b,f,c,h,g,f,i,j,d,d,h,e,i,b,h,c,a,b,c,c,i,i,j,f,j,i,g,a,h,c3
h,a,b,c,f,d,c,e,c,h,d,i,b,j,h,j,j,j,j,g,f,i,d,e,b,j,d,h,e,d,h,h,a,i,c,c,b,a,b,c,j,d,f,j,j,d,d,g,f,h,c3
f,d,h,h,h,d,g,i,e,f,j,a,g,d,d,a,e,a,h,i,c,a,f,e,g,d,j,f,f,i,i,g,f,d,f,b,i,e,e,d,e,e,j,i,e,h,h,i,d,a,c5
b,h,d,c,j,d,d,h,c,i,c,g,f,d,c,c,g,e,d,a,g,j,i,e,b,i,c,j,i,i,f,f,f,e,f,e,h,j,b,b,b,a,d,j,f,i,g,c,c,d,c4
g,f,a,e,b,d,c,f,e,b,a,e,f,d,d,b,f,f,g,i,g,f,j,a,f,h,g,b,c,a,h,g,e,b,e,e,h,j,j,f,b,a,d,b,i,j,f,c,c,g,c4
c,h,f,f,i,d,j,i,d,a,i,f,f,d,j,b,e,f,e,g,g,e,g,d,j,a,f,b,j,a,h,i,g,b,b,e,i,j,g,i,b,a,d,g,c,d,a,c,c,b,c4
f,f,h,b,h,d,j,i,a,b,j,a,g,b,d,e,e,c,i,h,e,a,c,h,e,j,j,i,f,g,c,f,a,d,d,h,c,e,e,h,d,d,b,f,i,b,h,i,b,j,c5
h,i,h,c,f,c,h,d,d,f,a,h,e,i,f,j,i,f,h,g,f,i,c,f,d,c,h,h,d,d,f,h,f,i,d,b,j,a,b,c,e,c,d,g,g,i,h,g,e,f,c3
g,b,i,e,h,f,f,c,a,j,g,i,a,e,e,i,g,d,e,b,c,f,g,c,d,h,e,e,a,b,e,f,a,e,g,e,d,b,h,j,c,b,c,i,i,i,f,i,e,h,c1
f,f,a,i,g,b,a,i,d,j,d,a,g,h,e,a,e,b,j,j,i,a,e,j,a,f,j,d,f,c,g,f,b,d,b,j,g,e,e,i,e,j,b,d,a,a,g,i,i,a,c5
i,d,f,i,h,a,c,c,a,f,g,b,a,h,e,i,d,b,b,b,j,e,d,c,d,e,j,e,d,h,e,j,e,f,d,e,a,d,b,h,g,i,h,a,j,g,c,j,d,i,c1
i,i,i,d,c,d,g,d,e,i,g,f,b,d,g,c,c,e,a,d,f,g,f,a,f,j,f,e,h,f,f,f,b,f,g,h,f,d,c,a,d,j,a,h,i,j,d,h,i,h,c2
h,j,i,b,h,j,a,c,a,a,g,f,a,h,e,i,d,c,j,b,i,c,g,c,i,f,b,e,b,b,h,i,g,d,i,e,i,i,b,g,b,i,g,h,g,j,c,f,e,g,c1
i,g,h,b,b,f,a,j,e,i,f,f,b,j,c,h,f,j,f,j,h,g,b,f,f,h,f,b,j,h,a,f,b,f,e,c,a,f,c,f,e,d,h,c,b,b,j,b,i,c,c2
f,g,d,g,c,f,d,i,a,d,h,a,g,c,j,b,e,e,j,g,c,a,g,i,i,h,j,d,f,e,i,g,h,d,b,a,d,e,e,b,f,i,d,f,b,g,i,i,f,g,c5
g,c,e,a,h,g,h,c,a,h,g,e,a,f,e,i,g,b,i,b,h,b,g,c,d,d,j,e,d,c,f,e,e,h,e,e,i,g,d,j,d,f,c,b,h,d,e,j,i,i,c1
j,a,d,b,h,c,g,c,a,f,g,f,a,e,e,i,g,a,c,b,c,e,g,c,g,h,b,e,j,c,f,f,h,g,h,e,e,c,i,a,c,j,f,e,e,d,f,d,c,f,c1
i,e,j,f,c,a,h,g,d,i,f,f,b,e,c,j,b,a,a,e,b,g,f,a,f,f,f,d,g,h,h,f,b,c,e,f,a,e,c,f,d,i,i,a,a,d,d,d,i,c,c2
i,e,f,d,a,h,j,e,i,i,c,f,b,c,h,i,i,c,f,g,i,g,a,f,f,b,f,a,f,e,i,f,b,e,h,i,j,i,c,j,h,e,e,d,i,b,h,c,i,j,c2
c,c,j,j,h,d,b,c,a,d,g,j,a,g,e,i,e,b,b,b,h,d,g,c,i,f,d,e,a,g,b,f,h,j,c,e,h,c,b,j,g,a,d,a,a,g,f,b,b,h,c1
f,e,c,b,b,i,e,i,j,h,f,a,g,a,j,d,e,i,f,f,f,f,h,d,f,g,j,j,f,g,d,b,d,d,g,i,c,e,e,d,i,b,g,j,g,h,e,i,c,j,c5
e,h,f,c,h,c,b,c,a,f,g,g,a,a,e,i,d,h,i,b,i,b,g,c,d,a,i,e,b,h,e,j,c,e,f,e,a,f,d,f,b,a,c,i,e,a,i,h,i,d,c1
c,h,b,f,h,a,g,c,a,i,g,f,a,j,e,i,e,g,j,b,c,f,d,c,c,a,d,e,b,i,j,j,i,f,g,e,j,a,b,a,a,j,b,i,a,h,j,e,h,b,c1
i,e,e,a,h,i,d,i,a,i,a,f,b,b,b,d,h,b,i,b,c,g,g,i,f,e,f,b,j,g,a,f,b,d,f,h,j,i,c,b,b,g,b,d,h,d,f,i,i,f,c2
i,i,h,c,f,d,j,h,b,b,a,f,c,d,c,j,h,a,g,e,f,i,f,a,d,f,j,c,b,d,a,h,i,i,a,d,c,a,b,c,d,e,c,b,g,a,g,g,b,b,c3
h,i,i,c,f,d,i,f,f,g,j,d,j,b,j,j,a,j,f,c,f,a,g,e,f,a,c,e,c,d,f,h,d,i,g,i,c,a,b,c,a,f,i,b,a,b,d,g,j,j,c3
j,j,h,d,f,d,f,d,a,i,j,a,f,d,g,e,h,a,c,e,g,e,g,e,b,b,c,f,e,g,i,a,c,f,j,e,f,j,b,a,b,a,d,d,b,c,a,c,c,c,c4
i,e,c,a,d,i,c,f,e,i,g,f,b,c,h,e,i,i,b,f,h,g,c,a,f,f,f,a,f,e,c,f,b,h,d,f,h,j,c,a,d,d,a,a,a,e,j,b,i,f,c2
i,j,e,j,a,f,i,h,e,i,g,f,b,h,g,d,f,c,g,j,b,g,b,b,f,c,f,e,c,d,f,f,b,j,i,f,f,h,c,h,a,f,c,c,g,e,e,j,i,j,c2
i,f,b,c,f,f,e,b,b,a,i,c,f,d,e,j,g,f,d,i,f,g,d,e,j,c,e,c,i,d,h,h,c,i,g,c,f,a,b,c,e,d,j,h,j,i,a,g,f,d,c3
i,i,a,h,a,f,d,b,h,i,e,f,b,b,i,e,j,d,i,a,b,g,i,i,f,a,f,j,f,f,i,f,b,j,a,d,a,a,c,d,j,i,j,c,f,a,i,i,i,c,c2
f,h,h,h,j,a,g,i,g,e,a,a,g,j,e,g,e,c,d,b,g,g,i,b,g,c,j,c,f,h,c,a,d,d,i,f,a,e,e,c,c,g,g,d,d,h,i,i,j,b,c5
i,i,j,g,b,i,d,j,c,i,a,f,b,a,g,c,d,h,e,j,g,g,d,g,f,e,f,b,f,a,c,f,b,c,j,i,h,h,c,f,c,d,j,j,h,c,f,i,i,j,c2
i,h,g,i,j,c,h,i,b,i,d,f,b,g,h,f,j,j,f,g,f,g,i,e,f,a,f,a,i,f,j,f,b,a,a,j,a,i,c,f,g,b,e,a,i,b,i,j,i,i,c2
b,a,d,b,j,d,h,c,g,d,a,j,f,d,a,a,e,j,i,i,g,f,f,c,b,j,d,a,i,j,d,a,g,b,j,e,j,j,d,d,b,a,d,i,j,a,c,c,c,d,c4
e,b,c,c,f,e,g,h,d,j,g,g,j,c,c,j,j,h,g,g,f,h,f,h,b,g,h,e,d,d,b,h,h,i,g,d,i,a,b,c,c,e,c,a,e,j,a,g,g,g,c3
i,f,e,c,f,h,f,i,j,i,b,f,b,g,c,a,e,d,j,g,c,g,g,h,f,c,f,g,c,e,e,f,b,f,e,g,b,d,c,h,f,a,b,a,a,f,h,e,i,f,c2
a,a,g,c,f,i,i,i,d,d,j,f,a,c,i,j,j,g,a,b,f,i,e,c,a,g,d,i,c,d,i,h,f,i,i,h,h,a,b,c,d,i,c,a,d,h,i,g,g,b,c3
i,j,a,j,g,g,j,h,e,i,h,f,b,i,e,e,c,a,h,i,j,g,e,a,f,d,f,g,h,h,c,f,b,i,b,i,j,g,c,d,g,a,b,c,j,c,e,f,i,f,c2
i,g,i,b,g,e,f,c,d,i,e,f,b,d,j,j,j,c,c,g,e,g,d,h,f,e,f,c,h,b,f,f,b,e,c,a,h,g,c,g,a,d,a,f,j,j,h,i,i,j,c2
