@relation 20_5_5_8_5_1000

@attribute A1 {e,d,b,a,c}
@attribute A2 {b,d,e,c,a}
@attribute A3 {b,c,a,d,e}
@attribute A4 {c,b,e,a,d}
@attribute A5 {c,e,a,d,b}
@attribute A6 {d,b,e,c,a}
@attribute A7 {e,d,a,b,c}
@attribute A8 {c,a,b,d,e}
@attribute A9 {c,b,d,e,a}
@attribute A10 {e,d,b,a,c}
@attribute A11 {d,a,b,c,e}
@attribute A12 {c,d,a,e,b}
@attribute A13 {e,b,c,d,a}
@attribute A14 {e,a,d,b,c}
@attribute A15 {d,e,a,c,b}
@attribute A16 {a,c,e,d,b}
@attribute A17 {b,c,d,e,a}
@attribute A18 {d,b,a,e,c}
@attribute A19 {e,b,d,a,c}
@attribute A20 {c,e,b,d,a}
@attribute Class {c2,c1,c4,c3,c5}

@data
d,c,c,b,e,d,b,c,b,e,b,b,b,a,e,c,d,c,b,c,c1
e,d,d,e,a,e,c,d,d,b,c,e,c,d,c,d,b,a,c,e,c4
d,b,e,c,c,a,c,b,c,e,d,c,c,c,d,a,e,b,e,c,c2
d,c,c,a,e,d,b,d,b,a,d,d,a,a,c,c,e,d,b,c,c1
e,d,b,e,a,c,a,d,d,b,e,e,e,d,c,d,a,c,d,e,c4
e,d,c,e,a,a,c,a,d,b,b,e,d,e,c,a,b,a,b,e,c4
d,c,c,c,c,a,a,d,c,e,a,c,d,b,d,a,d,a,e,c,c2
d,d,d,c,c,c,a,b,c,e,d,c,b,c,d,a,a,d,e,c,c2
e,d,b,e,a,d,c,c,d,b,d,e,a,c,c,a,a,b,b,e,c4
e,a,c,c,c,e,a,d,c,e,d,c,a,d,d,a,d,b,e,c,c2
d,b,c,a,e,d,d,c,b,b,a,a,c,a,b,c,b,e,b,c,c1
a,c,e,c,c,b,b,c,c,e,d,c,b,b,d,a,a,d,e,c,c2
b,e,a,e,d,d,b,e,b,c,e,e,a,c,b,a,b,c,e,b,c3
d,c,c,b,e,d,d,b,b,a,e,b,b,a,d,c,d,e,b,c,c1
b,c,e,a,b,d,b,e,b,c,c,e,b,c,b,c,b,c,e,b,c3
d,c,b,c,c,b,e,e,c,e,e,c,a,a,d,a,a,c,e,c,c2
b,c,c,c,a,d,b,d,b,b,a,e,a,b,b,c,b,c,d,b,c3
a,b,c,a,a,e,e,e,c,e,b,b,d,e,a,d,a,a,a,b,c5
e,a,c,c,c,b,c,b,c,e,a,c,a,c,d,a,d,d,e,c,c2
e,d,d,e,a,d,a,a,d,b,e,e,c,d,c,b,a,e,e,e,c4
a,e,c,e,e,e,a,e,a,a,b,a,d,e,d,d,c,d,a,e,c5
a,e,c,b,a,e,c,e,e,b,b,a,d,e,e,d,d,c,a,e,c5
a,a,c,e,d,e,a,e,d,c,b,a,d,e,b,d,e,c,a,e,c5
b,c,e,d,e,d,b,c,b,d,d,e,b,a,b,d,b,c,a,b,c3
e,d,a,e,a,b,e,d,d,b,d,e,d,d,c,d,b,b,c,e,c4
e,d,e,e,a,c,b,c,d,b,c,e,e,b,c,c,b,e,d,e,c4
a,b,c,e,e,e,b,e,a,d,b,c,d,e,d,d,b,b,a,b,c5
a,a,c,b,c,e,b,e,d,b,b,e,d,e,a,d,e,e,a,c,c5
e,d,b,e,a,d,e,a,d,b,e,e,d,e,c,d,a,d,d,e,c4
a,a,c,d,a,e,a,e,b,e,b,c,d,e,c,d,a,a,a,d,c5
d,c,c,c,e,d,a,c,b,c,b,a,d,a,b,c,c,e,b,c,c1
a,c,c,e,c,e,b,e,a,c,b,a,d,e,a,d,b,e,a,d,c5
a,e,c,b,e,e,d,e,c,e,b,d,d,e,e,d,d,a,a,c,c5
a,d,c,d,b,e,a,e,b,a,b,b,d,e,d,d,b,c,a,e,c5
a,c,c,d,d,e,a,e,a,a,b,e,d,e,e,d,e,d,a,d,c5
b,c,c,b,c,d,b,b,b,c,d,e,b,c,b,b,b,c,e,b,c3
a,a,c,e,c,e,a,e,c,a,b,e,d,e,c,d,c,c,a,a,c5
b,b,d,c,c,d,b,e,b,b,b,e,d,d,b,e,b,c,d,b,c3
b,c,c,a,a,d,b,e,b,d,e,e,c,b,b,c,b,c,a,b,c3
a,d,c,b,c,e,e,e,a,a,b,d,d,e,c,d,e,b,a,e,c5
e,d,a,e,a,d,c,c,d,b,a,e,c,b,c,b,e,c,e,e,c4
e,d,b,e,a,d,c,d,d,b,b,e,e,e,c,e,a,e,c,e,c4
e,b,d,c,c,b,b,d,c,e,b,c,c,c,d,a,d,e,e,c,c2
e,d,e,e,a,c,a,e,d,b,d,e,d,c,c,b,a,c,a,e,c4
a,e,c,e,a,e,d,e,d,c,b,a,d,e,a,d,b,a,a,d,c5
d,b,c,b,e,d,c,d,b,e,d,d,c,a,a,c,e,a,b,c,c1
d,a,c,b,e,d,d,e,b,c,c,e,a,a,c,c,a,b,b,c,c1
e,d,d,e,a,c,a,b,d,b,b,e,b,b,c,a,c,c,a,e,c4
d,b,c,c,e,d,c,a,b,b,b,d,a,a,d,c,d,e,b,c,c1
a,b,c,b,c,e,d,e,a,b,b,b,d,e,c,d,d,b,a,c,c5
d,c,b,c,c,d,c,d,c,e,b,c,e,a,d,a,a,d,e,c,c2
b,d,a,c,e,d,b,c,b,a,c,e,a,e,b,c,b,c,e,b,c3
c,e,c,c,c,c,e,e,c,e,e,c,e,a,d,a,d,a,e,c,c2
b,d,b,b,a,d,b,d,b,b,e,e,a,d,b,d,b,c,d,b,c3
d,d,c,a,e,d,a,c,b,c,b,d,e,a,c,c,c,b,b,c,c1
e,d,e,e,a,c,c,e,d,b,d,e,d,a,c,c,c,e,d,e,c4
e,d,e,e,a,c,c,e,d,b,a,e,d,c,c,c,b,d,e,e,c4
e,d,e,e,a,e,b,b,d,b,b,e,c,e,c,c,e,e,d,e,c4
a,e,c,a,d,e,b,e,d,a,b,e,d,e,e,d,e,d,a,a,c5
b,b,e,c,c,b,d,e,c,e,e,c,b,a,d,a,a,e,e,c,c2
a,d,c,e,b,e,e,e,b,a,b,c,d,e,b,d,c,e,a,e,c5
a,b,c,e,c,e,b,e,b,b,b,a,d,e,c,d,c,c,a,a,c5
a,b,d,c,c,b,d,c,c,e,a,c,e,e,d,a,d,e,e,c,c2
a,a,c,a,b,e,d,e,b,c,b,b,d,e,c,d,e,c,a,b,c5
a,a,c,a,a,e,d,e,e,c,b,c,d,e,d,d,c,b,a,e,c5
b,b,a,a,e,d,b,b,b,a,a,e,c,b,b,a,b,c,c,b,c3
a,e,a,c,c,c,d,b,c,e,e,c,b,c,d,a,d,b,e,c,c2
d,d,c,d,e,d,a,e,b,b,d,a,b,a,a,c,a,d,b,c,c1
c,c,e,c,c,e,a,c,c,e,b,c,a,b,d,a,a,a,e,c,c2
d,d,c,c,e,d,d,e,b,e,c,e,c,a,d,c,d,c,b,c,c1
b,b,d,d,e,d,b,a,b,d,e,e,a,d,b,c,b,c,c,b,c3
e,c,d,c,c,c,c,e,c,e,b,c,a,d,d,a,d,d,e,c,c2
e,b,a,c,c,d,d,c,c,e,c,c,e,e,d,a,c,e,e,c,c2
d,c,c,c,e,d,d,a,b,c,a,b,e,a,d,c,c,e,b,c,c1
a,d,c,e,b,e,a,e,e,e,b,d,d,e,c,d,a,e,a,c,c5
e,d,c,e,a,c,e,d,d,b,c,e,d,e,c,b,b,e,d,e,c4
a,c,c,c,b,e,c,e,c,a,b,c,d,e,c,d,c,a,a,a,c5
e,d,c,e,a,e,d,b,d,b,b,e,e,a,c,c,a,c,d,e,c4
d,d,c,d,e,d,d,e,b,e,a,c,b,a,c,c,b,d,b,c,c1
d,c,c,b,e,d,d,b,b,d,a,b,e,a,b,c,c,d,b,c,c1
a,a,c,e,c,e,b,e,e,b,b,a,d,e,a,d,e,c,a,a,c5
b,b,d,d,c,d,b,e,b,e,c,e,b,d,b,e,b,c,e,b,c3
e,c,c,c,c,a,c,b,c,e,d,c,b,d,d,a,d,c,e,c,c2
a,d,c,d,b,e,a,e,d,d,b,e,d,e,d,d,b,c,a,a,c5
e,d,e,e,a,c,d,e,d,b,a,e,d,e,c,e,a,c,a,e,c4
e,d,d,e,a,d,b,c,d,b,b,e,b,a,c,a,c,e,a,e,c4
e,d,b,e,a,d,e,b,d,b,b,e,c,b,c,b,e,b,e,e,c4
e,d,d,e,a,c,d,c,d,b,c,e,b,d,c,d,c,d,d,e,c4
d,a,c,b,e,d,b,c,b,e,a,c,e,a,c,c,e,c,b,c,c1
e,d,e,e,a,d,c,c,d,b,a,e,a,a,c,a,e,e,e,e,c4
d,e,d,c,c,c,d,e,c,e,d,c,c,c,d,a,d,b,e,c,c2
b,c,d,b,a,d,b,c,b,a,b,e,d,d,b,d,b,c,e,b,c3
a,b,c,c,b,e,d,e,c,d,b,b,d,e,c,d,b,e,a,e,c5
e,d,e,e,a,e,a,e,d,b,b,e,b,c,c,c,a,c,b,e,c4
e,d,d,e,a,b,c,c,d,b,e,e,a,b,c,b,c,b,a,e,c4
d,e,c,d,e,d,d,e,b,b,b,b,b,a,c,c,c,c,b,c,c1
d,d,c,c,c,b,c,b,c,e,b,c,d,d,d,a,c,b,e,c,c2
e,d,d,e,a,e,c,a,d,b,a,e,a,b,c,c,c,e,b,e,c4
d,e,c,d,e,d,b,b,b,c,d,b,c,a,e,c,d,a,b,c,c1
b,b,b,c,c,b,b,a,c,e,d,c,d,c,d,a,c,a,e,c,c2
e,d,c,e,a,e,e,c,d,b,a,e,e,b,c,c,b,b,d,e,c4
e,d,a,e,a,e,e,b,d,b,a,e,b,d,c,b,e,e,c,e,c4
e,d,a,e,a,d,b,e,d,b,d,e,c,b,c,d,a,a,c,e,c4
b,d,b,e,a,d,b,c,b,b,d,e,c,c,b,e,b,c,b,b,c3
a,d,b,c,c,b,e,b,c,e,b,c,b,c,d,a,b,e,e,c,c2
d,b,b,c,c,b,e,e,c,e,e,c,e,a,d,a,e,d,e,c,c2
d,d,d,c,c,d,e,e,c,e,e,c,b,a,d,a,c,a,e,c,c2
e,d,a,e,a,e,b,a,d,b,b,e,a,e,c,d,d,e,d,e,c4
b,c,e,c,c,e,a,d,c,e,b,c,e,e,d,a,d,c,e,c,c2
b,a,d,b,a,d,b,b,b,b,a,e,a,e,b,d,b,c,b,b,c3
d,a,c,d,e,d,a,d,b,b,b,e,c,a,a,c,a,a,b,c,c1
d,e,e,c,c,a,d,c,c,e,d,c,e,a,d,a,a,e,e,c,c2
b,e,d,b,c,d,b,c,b,c,b,e,e,a,b,c,b,c,c,b,c3
b,a,c,e,e,d,b,b,b,e,a,e,e,c,b,e,b,c,b,b,c3
e,a,b,c,c,b,b,e,c,e,e,c,c,a,d,a,b,c,e,c,c2
a,d,a,c,c,c,a,d,c,e,b,c,b,d,d,a,c,c,e,c,c2
e,d,b,e,a,c,e,c,d,b,b,e,a,a,c,c,e,d,b,e,c4
a,a,c,c,c,e,c,e,e,d,b,c,d,e,b,d,e,c,a,c,c5
c,e,b,c,c,b,c,d,c,e,c,c,a,c,d,a,c,e,e,c,c2
a,b,c,d,c,e,e,e,b,d,b,d,d,e,d,d,a,b,a,d,c5
d,d,c,e,e,d,e,c,b,e,d,c,c,a,d,c,e,b,b,c,c1
d,d,c,d,e,d,c,d,b,b,e,a,e,a,e,c,d,c,b,c,c1
e,d,b,e,a,b,b,d,d,b,c,e,c,c,c,b,b,d,b,e,c4
e,d,d,e,a,a,c,d,d,b,d,e,e,d,c,d,a,a,c,e,c4
b,d,a,d,d,d,b,b,b,b,d,e,b,a,b,c,b,c,e,b,c3
b,d,e,a,c,d,b,d,b,d,c,e,d,e,b,e,b,c,a,b,c3
b,c,b,c,c,d,d,d,c,e,d,c,b,c,d,a,e,a,e,c,c2
b,c,e,d,b,d,b,c,b,c,a,e,b,c,b,d,b,c,c,b,c3
b,e,b,c,a,d,b,a,b,a,c,e,c,c,b,b,b,c,a,b,c3
c,b,a,c,c,e,e,e,c,e,a,c,b,a,d,a,c,d,e,c,c2
d,a,c,e,e,d,d,e,b,c,e,b,a,a,d,c,a,e,b,c,c1
b,b,c,c,c,e,e,c,c,e,a,c,b,a,d,a,d,e,e,c,c2
a,a,c,d,b,e,a,e,d,e,b,d,d,e,b,d,e,e,a,e,c5
a,b,c,a,d,e,b,e,b,e,b,c,d,e,c,d,e,c,a,a,c5
e,d,c,e,a,b,b,a,d,b,a,e,d,b,c,c,b,b,d,e,c4
b,a,a,e,e,d,b,d,b,e,b,e,c,c,b,d,b,c,b,b,c3
e,c,a,c,c,c,b,e,c,e,b,c,e,c,d,a,d,b,e,c,c2
b,e,a,d,b,d,b,c,b,a,e,e,b,a,b,b,b,c,a,b,c3
d,c,c,b,e,d,d,d,b,a,b,d,b,a,a,c,e,d,b,c,c1
a,c,c,e,c,e,d,e,c,d,b,b,d,e,d,d,a,e,a,b,c5
a,d,c,d,e,e,c,e,a,d,b,a,d,e,a,d,c,e,a,c,c5
d,a,c,c,e,d,b,b,b,b,e,b,d,a,d,c,e,d,b,c,c1
e,d,d,e,a,c,c,e,d,b,c,e,d,d,c,c,b,a,c,e,c4
e,d,c,e,a,c,a,d,d,b,e,e,c,e,c,b,a,c,b,e,c4
b,c,e,d,a,d,b,b,b,e,c,e,d,d,b,c,b,c,e,b,c3
e,d,e,e,a,a,e,a,d,b,b,e,c,b,c,e,a,c,b,e,c4
d,a,c,d,e,d,d,e,b,d,c,b,c,a,e,c,e,c,b,c,c1
d,e,c,b,e,d,a,e,b,c,d,b,c,a,e,c,d,a,b,c,c1
b,b,b,c,d,d,b,d,b,a,a,e,c,a,b,e,b,c,a,b,c3
d,c,c,d,e,d,d,b,b,c,b,e,b,a,c,c,b,b,b,c,c1
c,d,d,c,c,b,d,d,c,e,e,c,d,a,d,a,e,c,e,c,c2
b,e,b,c,a,d,b,a,b,e,a,e,b,d,b,a,b,c,b,b,c3
e,d,d,e,a,c,b,a,d,b,b,e,b,c,c,d,d,a,e,e,c4
b,d,d,c,c,b,a,a,c,e,e,c,c,a,d,a,d,e,e,c,c2
d,d,c,d,e,d,a,e,b,a,c,a,c,a,e,c,e,c,b,c,c1
a,d,c,b,b,e,e,e,d,c,b,a,d,e,a,d,d,c,a,a,c5
b,d,b,b,e,d,b,c,b,b,a,e,c,b,b,d,b,c,c,b,c3
e,d,e,e,a,b,c,d,d,b,d,e,c,e,c,e,e,b,d,e,c4
b,a,a,b,c,d,b,a,b,b,d,e,c,b,b,b,b,c,e,b,c3
e,d,a,e,a,c,b,c,d,b,b,e,e,d,c,e,c,c,c,e,c4
e,d,e,e,a,d,b,e,d,b,b,e,a,a,c,a,e,a,a,e,c4
a,c,c,a,e,e,c,e,d,c,b,d,d,e,c,d,c,d,a,d,c5
b,d,d,e,c,d,b,d,b,d,d,e,b,b,b,b,b,c,c,b,c3
e,c,d,c,c,a,d,d,c,e,b,c,c,a,d,a,d,a,e,c,c2
d,c,c,b,e,d,c,e,b,e,d,c,e,a,c,c,a,b,b,c,c1
e,d,a,e,a,d,a,c,d,b,e,e,b,c,c,a,a,a,c,e,c4
d,d,c,c,e,d,d,d,b,e,b,d,e,a,b,c,e,b,b,c,c1
d,b,c,d,e,d,e,b,b,a,a,c,b,a,e,c,a,d,b,c,c1
c,c,c,c,c,c,e,b,c,e,c,c,b,b,d,a,b,b,e,c,c2
d,c,c,b,e,d,e,d,b,a,e,d,a,a,e,c,b,c,b,c,c1
d,b,c,e,e,d,e,a,b,b,e,b,e,a,a,c,e,e,b,c,c1
e,d,c,e,a,c,e,a,d,b,e,e,d,c,c,a,a,c,d,e,c4
a,e,c,d,d,e,c,e,c,e,b,b,d,e,d,d,a,e,a,a,c5
a,d,c,e,e,e,e,e,d,a,b,e,d,e,e,d,c,d,a,b,c5
a,a,c,d,a,e,b,e,c,b,b,d,d,e,b,d,e,a,a,d,c5
b,a,b,e,a,d,b,e,b,b,d,e,b,b,b,b,b,c,c,b,c3
d,e,c,e,e,d,d,a,b,a,e,c,e,a,a,c,e,b,b,c,c1
d,c,c,d,e,d,e,b,b,a,a,a,c,a,a,c,b,a,b,c,c1
d,e,c,d,e,d,b,b,b,b,b,c,b,a,a,c,d,e,b,c,c1
e,d,a,e,a,b,d,b,d,b,d,e,a,e,c,d,b,d,d,e,c4
a,d,c,d,e,e,d,e,e,a,b,c,d,e,c,d,e,b,a,e,c5
b,c,b,e,d,d,b,d,b,c,d,e,d,d,b,a,b,c,a,b,c3
e,d,d,e,a,d,d,b,d,b,d,e,a,c,c,b,c,b,a,e,c4
e,d,c,e,a,c,d,c,d,b,d,e,c,b,c,d,b,a,d,e,c4
a,a,c,c,c,e,a,e,c,e,c,c,d,e,d,a,a,a,e,c,c2
d,c,c,c,e,d,c,d,b,e,b,c,c,a,b,c,e,c,b,c,c1
b,a,c,b,d,d,b,c,b,a,e,e,c,d,b,d,b,c,c,b,c3
e,d,d,e,a,b,d,e,d,b,e,e,b,c,c,b,e,b,a,e,c4
b,e,b,c,d,d,b,e,b,a,b,e,e,a,b,d,b,c,b,b,c3
a,b,c,e,b,e,e,e,e,c,b,c,d,e,e,d,a,b,a,c,c5
a,b,c,c,e,e,e,e,e,e,b,c,d,e,c,d,b,b,a,c,c5
e,d,a,e,a,e,c,e,d,b,b,e,d,b,c,c,d,a,b,e,c4
e,e,e,c,c,a,a,a,c,e,d,c,d,e,d,a,e,a,e,c,c2
a,b,c,c,d,e,a,e,a,c,b,c,d,e,d,d,e,e,a,d,c5
a,c,c,e,a,e,c,e,a,c,b,a,d,e,d,d,b,a,a,b,c5
b,d,b,a,c,d,b,a,b,d,b,e,c,b,b,d,b,c,e,b,c3
b,b,d,c,c,d,b,a,b,c,c,e,c,a,b,d,b,c,c,b,c3
d,c,c,c,e,d,d,a,b,b,a,c,d,a,a,c,c,e,b,c,c1
b,c,a,c,c,e,c,c,c,e,d,c,e,b,d,a,c,c,e,c,c2
e,d,e,e,a,a,c,b,d,b,e,e,b,e,c,d,e,e,d,e,c4
b,c,b,a,c,d,b,e,b,e,c,e,d,b,b,c,b,c,c,b,c3
d,a,c,e,e,d,e,c,b,c,c,d,b,a,c,c,c,c,b,c,c1
b,d,e,d,e,d,b,a,b,d,d,e,e,b,b,a,b,c,e,b,c3
a,b,d,c,c,a,e,b,c,e,b,c,c,e,d,a,c,d,e,c,c2
b,e,a,c,c,a,d,d,c,e,b,c,a,e,d,a,e,b,e,c,c2
e,d,a,e,a,c,b,b,d,b,b,e,d,e,c,c,c,e,c,e,c4
a,d,c,b,a,e,e,e,a,e,b,c,d,e,a,d,c,d,a,e,c5
d,c,c,c,e,d,b,a,b,a,d,a,b,a,e,c,b,b,b,c,c1
b,e,c,a,d,d,b,b,b,b,c,e,a,c,b,b,b,c,a,b,c3
b,b,e,b,b,d,b,e,b,c,d,e,a,c,b,c,b,c,c,b,c3
a,c,b,c,c,d,e,b,c,e,a,c,d,e,d,a,a,c,e,c,c2
e,d,e,e,a,d,e,a,d,b,c,e,e,b,c,d,a,e,e,e,c4
b,d,e,d,c,d,b,e,b,d,d,e,d,c,b,a,b,c,e,b,c3
d,a,c,b,e,d,b,d,b,c,d,c,c,a,e,c,e,d,b,c,c1
b,d,c,d,e,d,b,a,b,e,c,e,b,b,b,e,b,c,d,b,c3
d,c,c,b,e,d,d,d,b,b,c,a,d,a,b,c,c,b,b,c,c1
a,c,c,a,e,e,e,e,a,a,b,d,d,e,a,d,c,b,a,d,c5
a,a,c,a,b,e,c,e,d,d,b,e,d,e,c,d,e,d,a,e,c5
e,d,d,e,a,a,e,d,d,b,d,e,d,e,c,d,b,e,d,e,c4
a,c,c,c,d,e,d,e,d,e,b,e,d,e,d,d,e,a,a,e,c5
a,d,c,e,c,e,c,e,d,c,b,b,d,e,d,d,a,d,a,c,c5
e,d,d,e,a,c,b,e,d,b,c,e,b,d,c,a,a,e,c,e,c4
a,e,a,c,c,e,a,d,c,e,b,c,a,c,d,a,b,e,e,c,c2
b,e,d,c,c,e,c,a,c,e,a,c,a,e,d,a,e,b,e,c,c2
d,c,c,c,e,d,d,e,b,d,a,a,a,a,b,c,a,c,b,c,c1
e,d,d,e,a,e,b,b,d,b,a,e,a,c,c,c,e,c,d,e,c4
a,b,d,c,c,e,d,d,c,e,a,c,d,c,d,a,b,e,e,c,c2
b,e,e,a,b,d,b,c,b,c,a,e,b,e,b,e,b,c,c,b,c3
b,e,b,a,a,d,b,a,b,d,d,e,d,a,b,d,b,c,e,b,c3
e,d,b,e,a,c,d,b,d,b,c,e,b,b,c,c,c,d,b,e,c4
b,d,a,e,e,d,b,a,b,a,a,e,e,d,b,a,b,c,e,b,c3
d,d,c,e,e,d,d,a,b,b,d,b,a,a,b,c,a,d,b,c,c1
a,d,c,e,b,e,a,e,b,c,b,e,d,e,b,d,e,b,a,c,c5
e,d,b,e,a,d,e,e,d,b,c,e,c,c,c,e,c,c,e,e,c4
a,a,c,e,a,e,b,e,d,d,b,d,d,e,c,d,d,d,a,e,c5
a,d,c,d,d,e,e,e,e,e,b,a,d,e,a,d,e,b,a,d,c5
b,e,e,e,c,d,b,b,b,a,c,e,e,a,b,e,b,c,d,b,c3
b,d,d,c,c,e,e,a,c,e,b,c,a,b,d,a,e,b,e,c,c2
d,d,c,c,e,d,a,a,b,e,d,b,a,a,b,c,a,d,b,c,c1
d,d,c,c,e,d,d,a,b,d,b,a,b,a,c,c,d,b,b,c,c1
b,b,a,c,b,d,b,a,b,d,a,e,e,e,b,b,b,c,e,b,c3
a,e,c,e,c,e,e,e,b,d,b,a,d,e,a,d,b,b,a,c,c5
a,a,c,c,e,e,b,e,d,c,b,a,d,e,b,d,e,a,a,b,c5
b,a,c,d,d,d,b,a,b,d,a,e,c,e,b,d,b,c,a,b,c3
e,d,a,e,a,e,e,a,d,b,d,e,a,d,c,c,a,b,e,e,c4
a,a,c,d,a,e,c,e,a,c,b,a,d,e,e,d,d,c,a,d,c5
b,a,d,b,b,d,b,a,b,c,e,e,c,e,b,e,b,c,e,b,c3
d,b,c,b,e,d,e,d,b,d,d,c,d,a,a,c,b,e,b,c,c1
e,d,c,e,a,c,e,a,d,b,e,e,d,e,c,a,a,b,b,e,c4
a,b,c,c,a,e,a,e,c,e,b,d,d,e,c,d,a,c,a,c,c5
e,d,e,e,a,c,a,c,d,b,c,e,b,b,c,e,e,b,b,e,c4
b,a,b,e,c,d,b,c,b,b,c,e,b,a,b,b,b,c,e,b,c3
a,d,e,c,c,d,a,e,c,e,b,c,e,e,d,a,c,c,e,c,c2
a,c,c,d,e,e,e,e,c,e,b,a,d,e,c,d,e,c,a,d,c5
d,c,c,a,e,d,a,e,b,b,c,b,c,a,c,c,a,a,b,c,c1
d,e,c,a,e,d,e,b,b,d,e,e,a,a,a,c,c,d,b,c,c1
b,e,a,a,a,d,b,b,b,d,e,e,b,a,b,b,b,c,d,b,c3
b,e,a,c,c,d,c,b,c,e,b,c,c,b,d,a,d,d,e,c,c2
a,d,c,d,b,e,a,e,b,a,b,a,d,e,d,d,b,b,a,a,c5
d,d,c,c,e,d,b,c,b,a,d,e,d,a,b,c,e,e,b,c,c1
c,a,a,c,c,d,e,c,c,e,d,c,d,e,d,a,c,d,e,c,c2
b,e,c,c,c,e,c,c,c,e,b,c,a,a,d,a,e,e,e,c,c2
e,d,b,e,a,a,b,e,d,b,d,e,d,a,c,b,d,e,c,e,c4
d,b,c,d,e,d,c,d,b,c,c,a,d,a,b,c,a,a,b,c,c1
b,e,d,c,c,a,a,d,c,e,c,c,c,c,d,a,d,e,e,c,c2
e,d,b,e,a,a,e,e,d,b,c,e,c,a,c,c,a,c,e,e,c4
e,d,e,e,a,a,a,c,d,b,c,e,e,c,c,b,d,e,b,e,c4
b,a,a,d,d,d,b,c,b,d,b,e,b,a,b,b,b,c,a,b,c3
e,d,e,e,a,b,c,d,d,b,a,e,a,d,c,a,a,a,c,e,c4
a,e,c,c,e,e,a,e,e,a,b,b,d,e,e,d,a,c,a,b,c5
a,e,b,c,c,a,a,c,c,e,e,c,e,a,d,a,a,a,e,c,c2
d,a,c,d,e,d,d,a,b,b,d,b,a,a,d,c,a,d,b,c,c1
b,d,c,a,a,d,b,c,b,b,c,e,e,c,b,c,b,c,c,b,c3
b,c,c,e,c,d,b,e,b,a,a,e,a,c,b,d,b,c,d,b,c3
d,a,c,c,e,d,c,b,b,e,d,c,b,a,e,c,e,d,b,c,c1
a,b,c,e,b,e,d,e,e,a,b,d,d,e,c,d,d,e,a,a,c5
d,a,c,b,e,d,c,c,b,a,a,a,e,a,b,c,d,a,b,c,c1
d,b,c,e,e,d,c,e,b,a,a,e,e,a,c,c,e,e,b,c,c1
e,d,b,e,a,a,b,c,d,b,b,e,e,a,c,c,e,e,d,e,c4
d,d,c,a,e,d,d,e,b,a,b,d,b,a,a,c,c,e,b,c,c1
a,d,c,c,a,e,e,e,a,a,b,e,d,e,d,d,e,a,a,c,c5
a,d,c,b,e,e,d,e,e,d,b,c,d,e,a,d,a,a,a,c,c5
a,e,c,e,a,e,e,e,d,b,b,e,d,e,c,d,e,e,a,e,c5
d,b,c,e,e,d,c,c,b,c,e,b,b,a,b,c,a,d,b,c,c1
d,c,c,b,e,d,c,c,b,d,d,d,a,a,d,c,e,b,b,c,c1
a,c,d,c,c,a,a,a,c,e,c,c,c,c,d,a,e,c,e,c,c2
e,d,b,c,c,e,c,b,c,e,d,c,a,a,d,a,b,b,e,c,c2
a,d,c,c,b,e,b,e,a,a,b,a,d,e,b,d,e,e,a,e,c5
a,e,c,a,b,e,d,e,b,c,b,c,d,e,a,d,c,b,a,b,c5
e,d,d,e,a,d,e,b,d,b,e,e,a,c,c,e,a,e,e,e,c4
e,d,c,e,a,c,c,c,d,b,a,e,a,c,c,a,e,e,b,e,c4
d,e,c,e,e,d,d,b,b,d,b,b,c,a,c,c,b,c,b,c,c1
b,d,d,c,c,d,b,b,b,c,e,e,b,b,b,c,b,c,b,b,c3
e,c,c,c,c,d,d,c,c,e,c,c,a,b,d,a,a,a,e,c,c2
d,d,c,c,e,d,c,c,b,d,b,c,b,a,d,c,c,b,b,c,c1
d,d,c,d,e,d,c,e,b,e,c,e,e,a,d,c,d,b,b,c,c1
e,d,b,e,a,d,c,e,d,b,a,e,e,d,c,e,d,b,b,e,c4
a,a,c,a,d,e,a,e,c,d,b,a,d,e,d,d,a,b,a,c,c5
b,a,a,b,d,d,b,e,b,c,a,e,e,a,b,c,b,c,c,b,c3
d,c,c,a,e,d,d,a,b,c,c,b,c,a,e,c,b,b,b,c,c1
e,d,d,e,a,d,a,b,d,b,c,e,b,e,c,b,a,e,b,e,c4
d,d,c,b,e,d,a,a,b,e,c,d,d,a,e,c,e,d,b,c,c1
d,d,c,d,e,d,d,c,b,e,d,c,a,a,c,c,e,d,b,c,c1
e,d,d,e,a,e,e,c,d,b,b,e,e,c,c,d,e,e,b,e,c4
c,d,c,c,c,b,a,c,c,e,a,c,c,d,d,a,b,c,e,c,c2
e,d,d,e,a,a,d,b,d,b,e,e,a,c,c,c,c,c,c,e,c4
d,b,c,b,e,d,d,a,b,a,b,c,a,a,d,c,a,a,b,c,c1
b,a,c,b,e,d,b,b,b,a,e,e,e,b,b,e,b,c,e,b,c3
b,c,d,e,e,d,b,a,b,e,d,e,c,e,b,e,b,c,a,b,c3
b,c,c,c,a,d,b,d,b,e,e,e,d,b,b,e,b,c,b,b,c3
d,e,c,b,e,d,a,a,b,e,d,b,d,a,e,c,c,c,b,c,c1
a,b,d,c,c,e,d,d,c,e,a,c,e,d,d,a,d,c,e,c,c2
e,d,e,e,a,a,b,e,d,b,a,e,e,b,c,a,b,a,a,e,c4
d,e,e,c,c,e,e,d,c,e,b,c,b,c,d,a,c,b,e,c,c2
e,d,e,e,a,c,a,d,d,b,a,e,a,a,c,d,c,b,d,e,c4
